#legend:                       ArgonShock      
#logy:                         logy            
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         0               
#title_str:                    z =             
#xcordID:                      ST              
#xlabel:                       $\omega$        
#xunit_str:                    $s^{-1}$        
#ycordID:                      AU              
#ylabel:                       I               
#yscale_str:                   arb.            
#yunit_str:                    arb.            
1.1080300000000000e+14    2.5642769141697345e+09    
1.2388655505004550e+14    1.6852050575667889e+10    
1.3697011010009100e+14    1.0341631174112012e+11    
1.5005366515013650e+14    5.9261657490561096e+11    
1.6313722020018200e+14    3.1710785589158755e+12    
1.7622077525022750e+14    1.5844869483040035e+13    
1.8930433030027297e+14    7.3929673654135406e+13    
2.0238788535031847e+14    3.2210492848963456e+14    
2.1547144040036397e+14    1.3104619296586478e+15    
2.2855499545040947e+14    4.9785159798510640e+15    
2.4163855050045497e+14    1.7661348492513170e+16    
2.5472210555050047e+14    5.8505443067540904e+16    
2.6780566060054594e+14    1.8097439903927904e+17    
2.8088921565059144e+14    5.2274088834005299e+17    
2.9397277070063694e+14    1.4099517727558840e+18    
3.0705632575068244e+14    3.5511621424040781e+18    
3.2013988080072794e+14    8.3518984357175183e+18    
3.3322343585077344e+14    1.8342070760017648e+19    
3.4630699090081894e+14    3.7614906151211540e+19    
3.5939054595086444e+14    7.2031101919031607e+19    
3.7247410100090994e+14    1.2880377527579224e+20    
3.8555765605095538e+14    2.1507284714440101e+20    
3.9864121110100094e+14    3.3534438130229255e+20    
4.1172476615104644e+14    4.8825302406615682e+20    
4.2480832120109188e+14    6.6381537551909467e+20    
4.3789187625113738e+14    8.4274877716190305e+20    
4.5097543130118288e+14    9.9907343758514507e+20    
4.6405898635122838e+14    1.1059745972766164e+21    
4.7714254140127388e+14    1.1432503665022663e+21    
4.9022609645131938e+14    1.1035347272012872e+21    
5.0330965150136488e+14    9.9467022505755332e+20    
5.1639320655141038e+14    8.3718355516522457e+20    
5.2947676160145588e+14    6.5797700772682898e+20    
5.4256031665150138e+14    4.8289110421123983e+20    
5.5564387170154688e+14    3.3093000802823655e+20    
5.6872742675159238e+14    2.1177346995629700e+20    
5.8181098180163788e+14    1.2654803718733391e+20    
5.9489453685168338e+14    7.0613499035236065e+19    
6.0797809190172888e+14    3.6793280279856837e+19    
6.2106164695177438e+14    1.7901842971811185e+19    
6.3414520200181988e+14    8.1334618851163546e+18    
6.4722875705186525e+14    3.4506553653454372e+18    
6.6031231210191075e+14    1.3670241740808384e+18    
6.7339586715195625e+14    5.0570734428576563e+17    
6.8647942220200188e+14    1.7469110222541402e+17    
6.9956297725204738e+14    5.6349590870445968e+16    
7.1264653230209288e+14    1.6973023292960776e+16    
7.2573008735213838e+14    4.7739306434841930e+15    
