#legend:                       ArgonShock      
#logy:                         logy            
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         0.0949296       
#title_str:                    z =             
#xcordID:                      ST              
#xlabel:                       $\omega$        
#xunit_str:                    $s^{-1}$        
#ycordID:                      AU              
#ylabel:                       I               
#yscale_str:                   arb.            
#yunit_str:                    arb.            
1.1080300000000000e+14    1.4144957562732832e+13    
1.2388655505004550e+14    3.3127033302548230e+13    
1.3697011010009100e+14    7.4162374426784234e+13    
1.5005366515013650e+14    1.5938840246340175e+14    
1.6313722020018200e+14    3.3036271920406400e+14    
1.7622077525022750e+14    6.6472904034464262e+14    
1.8930433030027297e+14    1.3136174830305915e+15    
2.0238788535031847e+14    2.6040640148276805e+15    
2.1547144040036397e+14    5.3553439066999670e+15    
2.2855499545040947e+14    1.1873015660032760e+16    
2.4163855050045497e+14    2.8934926381807648e+16    
2.5472210555050047e+14    7.6123875666295712e+16    
2.6780566060054594e+14    2.0714102481104282e+17    
2.8088921565059144e+14    5.5934382529909139e+17    
2.9397277070063694e+14    1.4574547843213804e+18    
3.0705632575068244e+14    3.6067412382176010e+18    
3.2013988080072794e+14    8.4067197724740157e+18    
3.3322343585077344e+14    1.8377828679074515e+19    
3.4630699090081894e+14    3.7600103963682038e+19    
3.5939054595086444e+14    7.1918010566923452e+19    
3.7247410100090994e+14    1.2852740974766753e+20    
3.8555765605095538e+14    2.1455344795037473e+20    
3.9864121110100094e+14    3.3449455816580268e+20    
4.1172476615104644e+14    4.8698978955895197e+20    
4.2480832120109188e+14    6.6207585895126283e+20    
4.3789187625113738e+14    8.4050682775120721e+20    
4.5097543130118288e+14    9.9635316998094979e+20    
4.6405898635122838e+14    1.1028567816331139e+21    
4.7714254140127388e+14    1.1398687383019422e+21    
4.9022609645131938e+14    1.1000616322683719e+21    
5.0330965150136488e+14    9.9129386742581481e+20    
5.1639320655141038e+14    8.3408152994740162e+20    
5.2947676160145588e+14    6.5529191629217504e+20    
5.4256031665150138e+14    4.8071345327586633e+20    
5.5564387170154688e+14    3.2929151149557508e+20    
5.6872742675159238e+14    2.1065105535609979e+20    
5.8181098180163788e+14    1.2587626061682611e+20    
5.9489453685168338e+14    7.0301469266996879e+19    
6.0797809190172888e+14    3.6741903298415636e+19    
6.2106164695177438e+14    1.8018053381635895e+19    
6.3414520200181988e+14    8.3396017132739768e+18    
6.4722875705186525e+14    3.6887107377175163e+18    
6.6031231210191075e+14    1.5985934597301732e+18    
6.7339586715195625e+14    7.0915848352547520e+17    
6.8647942220200188e+14    3.4101190240272794e+17    
6.9956297725204738e+14    1.8488472585557056e+17    
