#legend:                       ArgonShock      
#logy:                         logy            
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         2.82066         
#title_str:                    z =             
#xcordID:                      ST              
#xlabel:                       $\omega$        
#xunit_str:                    $s^{-1}$        
#ycordID:                      AU              
#ylabel:                       I               
#yscale_str:                   arb.            
#yunit_str:                    arb.            
1.1080300000000000e+14    1.4006938182943582e+15    
1.2388655505004550e+14    1.1649332683797062e+15    
1.3697011010009100e+14    4.9862923566166250e+14    
1.5005366515013650e+14    1.0319109161524005e+15    
1.6313722020018200e+14    9.1316860956155960e+15    
1.7622077525022750e+14    4.2274362221161112e+16    
1.8930433030027297e+14    1.4054776690372954e+17    
2.0238788535031847e+14    3.8535245919047258e+17    
2.1547144040036397e+14    9.2688916804015475e+17    
2.2855499545040947e+14    2.0203662338260611e+18    
2.4163855050045497e+14    4.0676371785885885e+18    
2.5472210555050047e+14    7.6563202841578250e+18    
2.6780566060054594e+14    1.3583700971785497e+19    
2.8088921565059144e+14    2.2850962874877379e+19    
2.9397277070063694e+14    3.6618885954957328e+19    
3.0705632575068244e+14    5.6131961377178132e+19    
3.2013988080072794e+14    8.2639976835415900e+19    
3.3322343585077344e+14    1.1735867126122981e+20    
3.4630699090081894e+14    1.6148843745898172e+20    
3.5939054595086444e+14    2.1623425318262106e+20    
3.7247410100090994e+14    2.8266152006337914e+20    
3.8555765605095538e+14    3.6116233471017393e+20    
3.9864121110100094e+14    4.5041185851864934e+20    
4.1172476615104644e+14    5.4602601938133778e+20    
4.2480832120109188e+14    6.3958023006153264e+20    
4.3789187625113738e+14    7.1890785660030419e+20    
4.5097543130118288e+14    7.7032354798194472e+20    
4.6405898635122838e+14    7.8252900916767936e+20    
4.7714254140127388e+14    7.5084571881957635e+20    
4.9022609645131938e+14    6.7980250582284711e+20    
5.0330965150136488e+14    5.8255474131495027e+20    
5.1639320655141038e+14    4.7704689408460548e+20    
5.2947676160145588e+14    3.8046373590288610e+20    
5.4256031665150138e+14    3.0435480660670664e+20    
5.5564387170154688e+14    2.5236475256186598e+20    
5.6872742675159238e+14    2.2109564182392629e+20    
5.8181098180163788e+14    2.0315446781358339e+20    
5.9489453685168338e+14    1.9069892984061110e+20    
6.0797809190172888e+14    1.7801484381509203e+20    
6.2106164695177438e+14    1.6248381480883572e+20    
6.3414520200181988e+14    1.4415155508198112e+20    
6.4722875705186525e+14    1.2457645359160543e+20    
6.6031231210191075e+14    1.0564989045847156e+20    
6.7339586715195625e+14    8.8808043474264801e+19    
6.8647942220200188e+14    7.4733705296805380e+19    
6.9956297725204738e+14    6.3429900556507431e+19    
7.1264653230209288e+14    5.4473203707507917e+19    
7.2573008735213838e+14    4.7284065583600157e+19    
7.3881364240218375e+14    4.1322903797627453e+19    
7.5189719745222925e+14    3.6187759568048206e+19    
7.6498075250227475e+14    3.1631168488462369e+19    
7.7806430755232025e+14    2.7529496445682934e+19    
7.9114786260236575e+14    2.3835767009225810e+19    
8.0423141765241125e+14    2.0536703114901996e+19    
8.1731497270245675e+14    1.7623496709488982e+19    
8.3039852775250225e+14    1.5077417947963025e+19    
8.4348208280254775e+14    1.2866784865410537e+19    
8.5656563785259325e+14    1.0950458131319489e+19    
8.6964919290263875e+14    9.2837070981598372e+18    
8.8273274795268425e+14    7.8238272548125430e+18    
8.9581630300272975e+14    6.5344019874190367e+18    
9.0889985805277525e+14    5.3881254327817390e+18    
9.2198341310282075e+14    4.3685208127491517e+18    
9.3506696815286625e+14    3.4708242279448689e+18    
9.4815052320291175e+14    2.7019980514203126e+18    
9.6123407825295725e+14    2.0795401408289157e+18    
9.7431763330300275e+14    1.6286485056898440e+18    
9.8740118835304825e+14    1.3774680324095721e+18    
1.0004847434030938e+15    1.3505621528084321e+18    
1.0135682984531392e+15    1.5613071454940122e+18    
1.0266518535031848e+15    2.0044389232965586e+18    
1.0397354085532302e+15    2.6503228795985367e+18    
1.0528189636032758e+15    3.4425329110650486e+18    
1.0659025186533212e+15    4.2999525223833416e+18    
1.0789860737033668e+15    5.1238774628193260e+18    
1.0920696287534122e+15    5.8096270693731174e+18    
1.1051531838034578e+15    6.2611552582301962e+18    
1.1182367388535032e+15    6.4063192352249590e+18    
1.1313202939035488e+15    6.2100229045291080e+18    
1.1444038489535942e+15    5.6825411612638464e+18    
1.1574874040036398e+15    4.8809829777514179e+18    
1.1705709590536850e+15    3.9029798292034550e+18    
1.1836545141037305e+15    2.8731028155372334e+18    
1.1967380691537760e+15    1.9239596702947564e+18    
1.2098216242038215e+15    1.1751200186564237e+18    
1.2229051792538670e+15    7.1370132920274931e+17    
1.2359887343039125e+15    5.8041700502170406e+17    
1.2490722893539582e+15    7.6404627231127936e+17    
1.2621558444040038e+15    1.2056918385357788e+18    
1.2752393994540492e+15    1.8121020677411686e+18    
1.2883229545040948e+15    2.4752065583728015e+18    
1.3014065095541402e+15    3.0934315456948439e+18    
1.3144900646041858e+15    3.5898698049451515e+18    
1.3275736196542312e+15    3.9232622118090199e+18    
1.3406571747042768e+15    4.0898386086025610e+18    
1.3537407297543222e+15    4.1167206244014966e+18    
1.3668242848043675e+15    4.0498767138835082e+18    
1.3799078398544130e+15    3.9407037772181939e+18    
1.3929913949044585e+15    3.8348474707494118e+18    
1.4060749499545040e+15    3.7652087544074025e+18    
1.4191585050045495e+15    3.7491051764639724e+18    
1.4322420600545950e+15    3.7882316994719048e+18    
1.4453256151046405e+15    3.8699270889770993e+18    
1.4584091701546860e+15    3.9691026149714678e+18    
1.4714927252047315e+15    4.0512521060997376e+18    
1.4845762802547770e+15    4.0773810768444682e+18    
1.4976598353048225e+15    4.0110895474701174e+18    
1.5107433903548680e+15    3.8267616097513436e+18    
