#legend:                       ArgonShock      
#logy:                         logy            
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         0.214789        
#title_str:                    z =             
#xcordID:                      ST              
#xlabel:                       $\omega$        
#xunit_str:                    $s^{-1}$        
#ycordID:                      AU              
#ylabel:                       I               
#yscale_str:                   arb.            
#yunit_str:                    arb.            
1.1080300000000000e+14    6.2752132901686781e+13    
1.2388655505004550e+14    1.5033245738589869e+14    
1.3697011010009100e+14    3.4229409665094219e+14    
1.5005366515013650e+14    7.4449437057533050e+14    
1.6313722020018200e+14    1.5528922991537965e+15    
1.7622077525022750e+14    3.1168760902019705e+15    
1.8930433030027297e+14    6.0428072185025060e+15    
2.0238788535031847e+14    1.1379954190551706e+16    
2.1547144040036397e+14    2.1023201721871940e+16    
2.2855499545040947e+14    3.8758356765005984e+16    
2.4163855050045497e+14    7.3188765552639712e+16    
2.5472210555050047e+14    1.4577203729132573e+17    
2.6780566060054594e+14    3.1142293900485760e+17    
2.8088921565059144e+14    7.0672117419828749e+17    
2.9397277070063694e+14    1.6515086758333798e+18    
3.0705632575068244e+14    3.8391851430839250e+18    
3.2013988080072794e+14    8.6471046220576922e+18    
3.3322343585077344e+14    1.8560364967541391e+19    
3.4630699090081894e+14    3.7609417636751016e+19    
3.5939054595086444e+14    7.1577388242254692e+19    
3.7247410100090994e+14    1.2759465062912908e+20    
3.8555765605095538e+14    2.1273001745894651e+20    
3.9864121110100094e+14    3.3145248285271301e+20    
4.1172476615104644e+14    4.8241717383629819e+20    
4.2480832120109188e+14    6.5573639802500402e+20    
4.3789187625113738e+14    8.3230264017343978e+20    
4.5097543130118288e+14    9.8637587485058177e+20    
4.6405898635122838e+14    1.0914112224384203e+21    
4.7714254140127388e+14    1.1274583139211446e+21    
4.9022609645131938e+14    1.0873332062716648e+21    
5.0330965150136488e+14    9.7895113394713566e+20    
5.1639320655141038e+14    8.2278486332232040e+20    
5.2947676160145588e+14    6.4556682832892671e+20    
5.4256031665150138e+14    4.7288730982059056e+20    
5.5564387170154688e+14    3.2347004285330516e+20    
5.6872742675159238e+14    2.0673537576693848e+20    
5.8181098180163788e+14    1.2361127030845612e+20    
5.9489453685168338e+14    6.9340572578896830e+19    
6.0797809190172888e+14    3.6712099709684564e+19    
6.2106164695177438e+14    1.8572915055363437e+19    
6.3414520200181988e+14    9.1934577114107156e+18    
6.4722875705186525e+14    4.6312696692497940e+18    
6.6031231210191075e+14    2.4935887217127485e+18    
6.7339586715195625e+14    1.4827031133576033e+18    
6.8647942220200188e+14    9.6540556190021722e+17    
6.9956297725204738e+14    6.6234765372522138e+17    
7.1264653230209288e+14    4.6083381606784781e+17    
7.2573008735213838e+14    3.1749323611665165e+17    
7.3881364240218375e+14    2.1424619966541098e+17    
7.5189719745222925e+14    1.4114529359061627e+17    
7.6498075250227475e+14    9.0842951080769776e+16    
7.7806430755232025e+14    5.7277056126897112e+16    
7.9114786260236575e+14    3.5522506002379956e+16    
8.0423141765241125e+14    2.1783187476981208e+16    
8.1731497270245675e+14    1.3291617183297558e+16    
8.3039852775250225e+14    8.1293017753702050e+15    
8.4348208280254775e+14    5.0237151829943950e+15    
8.5656563785259325e+14    3.1626211646379030e+15    
8.6964919290263875e+14    2.0443828170025918e+15    
8.8273274795268425e+14    1.3674108138161200e+15    
8.9581630300272975e+14    9.5387858443753950e+14    
9.0889985805277525e+14    7.0001247674173725e+14    
9.2198341310282075e+14    5.4533738265307231e+14    
9.3506696815286625e+14    4.5459814389893275e+14    
9.4815052320291175e+14    4.0773285159409756e+14    
9.6123407825295725e+14    3.9477991626119469e+14    
9.7431763330300275e+14    4.1379108913877962e+14    
9.8740118835304825e+14    4.7069598182511312e+14    
1.0004847434030938e+15    5.8069545719594762e+14    
1.0135682984531392e+15    7.7125530262916875e+14    
1.0266518535031848e+15    1.0872366820177642e+15    
1.0397354085532302e+15    1.5992396741031608e+15    
1.0528189636032758e+15    2.4169410610557770e+15    
1.0659025186533212e+15    3.7101392867477970e+15    
1.0789860737033668e+15    5.7413824441310190e+15    
1.0920696287534122e+15    8.9153499554416350e+15    
1.1051531838034578e+15    1.3851323522402308e+16    
1.1182367388535032e+15    2.1485635895572276e+16    
1.1313202939035488e+15    3.3210196549414836e+16    
1.1444038489535942e+15    5.1050122298993880e+16    
1.1574874040036398e+15    7.7877154340239904e+16    
1.1705709590536850e+15    1.1764517085730038e+17    
1.1836545141037305e+15    1.7561963918689910e+17    
1.1967380691537760e+15    2.5855542412351904e+17    
1.2098216242038215e+15    3.7475974780791840e+17    
1.2229051792538670e+15    5.3396383982888134e+17    
1.2359887343039125e+15    7.4692389805976666e+17    
1.2490722893539582e+15    1.0246857076048308e+18    
1.2621558444040038e+15    1.3774825021159071e+18    
1.2752393994540492e+15    1.8132936155908429e+18    
1.2883229545040948e+15    2.3361676864591749e+18    
1.3014065095541402e+15    2.9444973651508193e+18    
1.3144900646041858e+15    3.6295051978458230e+18    
1.3275736196542312e+15    4.3742418166567224e+18    
1.3406571747042768e+15    5.1533884691955487e+18    
1.3537407297543222e+15    5.9340843783716250e+18    
1.3668242848043675e+15    6.6778663359170488e+18    
1.3799078398544130e+15    7.3436298612213217e+18    
1.3929913949044585e+15    7.8913292957379400e+18    
1.4060749499545040e+15    8.2859684128868905e+18    
1.4191585050045495e+15    8.5013332398837402e+18    
1.4322420600545950e+15    8.5229137660208589e+18    
1.4453256151046405e+15    8.3495604309172480e+18    
1.4584091701546860e+15    7.9936104613881672e+18    
1.4714927252047315e+15    7.4794623920927734e+18    
1.4845762802547770e+15    6.8408252657718692e+18    
1.4976598353048225e+15    6.1170715253247570e+18    
1.5107433903548680e+15    5.3492400417830144e+18    
1.5238269454049135e+15    4.5762490850859177e+18    
1.5369105004549590e+15    3.8317932473928223e+18    
1.5499940555050045e+15    3.1422394098720307e+18    
1.5630776105550500e+15    2.5256437914379587e+18    
1.5761611656050955e+15    1.9918263912149908e+18    
1.5892447206551410e+15    1.5432947070542874e+18    
1.6023282757051865e+15    1.1767253978954726e+18    
1.6154118307552320e+15    8.8469426084193114e+17    
1.6284953858052775e+15    6.5738125674574093e+17    
1.6415789408553230e+15    4.8404928672124026e+17    
1.6546624959053685e+15    3.5418129048236288e+17    
1.6677460509554140e+15    2.5824100715586566e+17    
1.6808296060054595e+15    1.8808552076990448e+17    
1.6939131610555050e+15    1.3709678735254955e+17    
1.7069967161055505e+15    1.0011528130163995e+17    
1.7200802711555960e+15    7.3256530883283728e+16    
1.7331638262056415e+15    5.3677330899806608e+16    
1.7462473812556870e+15    3.9339386274857280e+16    
1.7593309363057325e+15    2.8799183329185468e+16    
1.7724144913557780e+15    2.1037189447603680e+16    
1.7854980464058235e+15    1.5328379301326462e+16    
1.7985816014558690e+15    1.1149524116587396e+16    
1.8116651565059145e+15    8.1157933383815970e+15    
1.8247487115559600e+15    5.9388419571513690e+15    
1.8378322666060055e+15    4.3995882628972750e+15    
1.8509158216560510e+15    3.3304731688622320e+15    
1.8639993767060965e+15    2.6035843456283155e+15    
1.8770829317561420e+15    2.1223447765873398e+15    
1.8901664868061875e+15    1.8154185433823190e+15    
1.9032500418562330e+15    1.6321037079271700e+15    
1.9163335969062785e+15    1.5388409340070705e+15    
1.9294171519563240e+15    1.5166529997106550e+15    
1.9425007070063695e+15    1.5594163145274052e+15    
1.9555842620564150e+15    1.6729004970252652e+15    
1.9686678171064605e+15    1.8745241884412228e+15    
1.9817513721565060e+15    2.1937763606740452e+15    
1.9948349272065515e+15    2.6732436469946625e+15    
2.0079184822565970e+15    3.3701615430001840e+15    
2.0210020373066425e+15    4.3583653364726050e+15    
2.0340855923566880e+15    5.7304517229706620e+15    
2.0471691474067335e+15    7.5998746591836690e+15    
2.0602527024567790e+15    1.0102595033984992e+16    
2.0733362575068245e+15    1.3397795571310392e+16    
