#legend:                       ArgonShock      
#logy:                         logy            
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         3.5             
#title_str:                    z =             
#xcordID:                      ST              
#xlabel:                       $\omega$        
#xunit_str:                    $s^{-1}$        
#ycordID:                      AU              
#ylabel:                       I               
#yscale_str:                   arb.            
#yunit_str:                    arb.            
1.1080300000000000e+14    9.1477702707804912e+14    
1.2388655505004550e+14    2.1811485458981288e+15    
1.3697011010009100e+14    6.2978208467450860e+15    
1.5005366515013650e+14    1.7433392018340152e+16    
1.6313722020018200e+14    4.5425247165910424e+16    
1.7622077525022750e+14    1.1296378612661845e+17    
1.8930433030027297e+14    2.6956772966927805e+17    
2.0238788535031847e+14    6.1592952722433882e+17    
2.1547144040036397e+14    1.3419037510159757e+18    
2.2855499545040947e+14    2.7791556009599524e+18    
2.4163855050045497e+14    5.4643210687475958e+18    
2.5472210555050047e+14    1.0200158120057651e+19    
2.6780566060054594e+14    1.8092019989762294e+19    
2.8088921565059144e+14    3.0529312831533162e+19    
2.9397277070063694e+14    4.9083515591921312e+19    
3.0705632575068244e+14    7.5313040054867313e+19    
3.2013988080072794e+14    1.1050147520458909e+20    
3.3322343585077344e+14    1.5539602403223526e+20    
3.4630699090081894e+14    2.1002758769786090e+20    
3.5939054595086444e+14    2.7365177670401642e+20    
3.7247410100090994e+14    3.4475050156339718e+20    
3.8555765605095538e+14    4.2093658416012512e+20    
3.9864121110100094e+14    4.9861821341155570e+20    
4.1172476615104644e+14    5.7248578578251776e+20    
4.2480832120109188e+14    6.3521921501269354e+20    
4.3789187625113738e+14    6.7803578311870159e+20    
4.5097543130118288e+14    6.9251066402359017e+20    
4.6405898635122838e+14    6.7342059310767840e+20    
4.7714254140127388e+14    6.2150701141206499e+20    
4.9022609645131938e+14    5.4463848063878883e+20    
5.0330965150136488e+14    4.5633739697882530e+20    
5.1639320655141038e+14    3.7190543166696279e+20    
5.2947676160145588e+14    3.0370652294304209e+20    
5.4256031665150138e+14    2.5768621921717833e+20    
5.5564387170154688e+14    2.3256625758316744e+20    
5.6872742675159238e+14    2.2176678205621767e+20    
5.8181098180163788e+14    2.1683822655591291e+20    
5.9489453685168338e+14    2.1072279814829824e+20    
6.0797809190172888e+14    1.9961269276559409e+20    
6.2106164695177438e+14    1.8309091529679271e+20    
6.3414520200181988e+14    1.6304461634894050e+20    
6.4722875705186525e+14    1.4217513149822699e+20    
6.6031231210191075e+14    1.2279437321711372e+20    
6.7339586715195625e+14    1.0622570396660947e+20    
6.8647942220200188e+14    9.2774294086378308e+19    
6.9956297725204738e+14    8.2038963268907057e+19    
7.1264653230209288e+14    7.3314380405669274e+19    
7.2573008735213838e+14    6.5912053885988954e+19    
7.3881364240218375e+14    5.9333142386325463e+19    
7.5189719745222925e+14    5.3305458554387562e+19    
7.6498075250227475e+14    4.7735085731198345e+19    
7.7806430755232025e+14    4.2626654058694189e+19    
7.9114786260236575e+14    3.8011019997290742e+19    
8.0423141765241125e+14    3.3898931983254868e+19    
8.1731497270245675e+14    3.0262932694721376e+19    
8.3039852775250225e+14    2.7040431976196264e+19    
8.4348208280254775e+14    2.4148072975845241e+19    
8.5656563785259325e+14    2.1498966527196492e+19    
8.6964919290263875e+14    1.9017596337960829e+19    
8.8273274795268425e+14    1.6650317623642837e+19    
8.9581630300272975e+14    1.4371381796384504e+19    
9.0889985805277525e+14    1.2185140480596136e+19    
9.2198341310282075e+14    1.0124878736442743e+19    
9.3506696815286625e+14    8.2481980616128707e+18    
9.4815052320291175e+14    6.6285723692852531e+18    
9.6123407825295725e+14    5.3429677571693599e+18    
9.7431763330300275e+14    4.4562795477586647e+18    
9.8740118835304825e+14    4.0045523874033756e+18    
1.0004847434030938e+15    3.9800845979541924e+18    
1.0135682984531392e+15    4.3221081025145231e+18    
1.0266518535031848e+15    4.9164200849951150e+18    
