#legend:                       ArgonShock      
#logy:                         logy            
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         0.7656          
#title_str:                    z =             
#xcordID:                      ST              
#xlabel:                       $\omega$        
#xunit_str:                    $s^{-1}$        
#ycordID:                      AU              
#ylabel:                       I               
#yscale_str:                   arb.            
#yunit_str:                    arb.            
1.1080300000000000e+14    2.7083545679314969e+13    
1.2388655505004550e+14    1.0369121309772548e+14    
1.3697011010009100e+14    4.6303524092889538e+14    
1.5005366515013650e+14    1.6322631949402010e+15    
1.6313722020018200e+14    4.7924901909221810e+15    
1.7622077525022750e+14    1.2361348882713928e+16    
1.8930433030027297e+14    2.8938472477078492e+16    
2.0238788535031847e+14    6.2748589799486232e+16    
2.1547144040036397e+14    1.2774832001527546e+17    
2.2855499545040947e+14    2.4669621049843181e+17    
2.4163855050045497e+14    4.5599479545735763e+17    
2.5472210555050047e+14    8.1462467095022630e+17    
2.6780566060054594e+14    1.4231002770646397e+18    
2.8088921565059144e+14    2.4653721419524572e+18    
2.9397277070063694e+14    4.2971481670098668e+18    
3.0705632575068244e+14    7.6143649153494016e+18    
3.2013988080072794e+14    1.3733874989611196e+19    
3.3322343585077344e+14    2.4984311638765265e+19    
3.4630699090081894e+14    4.5117453178500162e+19    
3.5939054595086444e+14    7.9510575479652729e+19    
3.7247410100090994e+14    1.3479325704316717e+20    
3.8555765605095538e+14    2.1751880904382952e+20    
3.9864121110100094e+14    3.3175199834677799e+20    
4.1172476615104644e+14    4.7600530583625898e+20    
4.2480832120109188e+14    6.4064414844684455e+20    
4.3789187625113738e+14    8.0727759902144791e+20    
4.5097543130118288e+14    9.5130415188343744e+20    
4.6405898635122838e+14    1.0475730185593753e+21    
4.7714254140127388e+14    1.0775172593034959e+21    
4.9022609645131938e+14    1.0350236589183481e+21    
5.0330965150136488e+14    9.2851258371865929e+20    
5.1639320655141038e+14    7.7826912006433630e+20    
5.2947676160145588e+14    6.1018338823394925e+20    
5.4256031665150138e+14    4.4854021149584464e+20    
5.5564387170154688e+14    3.1058072581270399e+20    
5.6872742675159238e+14    2.0436308558255374e+20    
5.8181098180163788e+14    1.2980511343328890e+20    
