#legend:                       ArgonShock      
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         0               
#title_str:                    z =             
#xcordID:                      T               
#xlabel:                       t               
#xscale:                       0               
#xscale_str:                   $t_{p}$         
#xunit_str:                    s               
#ycordID:                      I               
#ylabel:                       I               
#yscale:                       5e+16           
#yscale_str:                   $I_{0}$         
#yunit_str:                    W/m$^{2}$       
-2.3999999999999999e-13   4.6445682082835297e+01    
-2.3988278388278389e-13   4.6445682085242098e+01    
-2.3976556776556774e-13   4.6445725448535981e+01    
-2.3964835164835165e-13   4.6445812997120498e+01    
-2.3953113553113550e-13   4.6445944357365804e+01    
-2.3941391941391940e-13   4.6446119388120316e+01    
-2.3929670329670330e-13   4.6446338141100398e+01    
-2.3917948717948716e-13   4.6446600500064257e+01    
-2.3906227106227106e-13   4.6446906562903237e+01    
-2.3894505494505491e-13   4.6447256623083447e+01    
-2.3882783882783881e-13   4.6447650278205209e+01    
-2.3871062271062272e-13   4.6448087450718873e+01    
-2.3859340659340657e-13   4.6448568932288602e+01    
-2.3847619047619047e-13   4.6449093675066621e+01    
-2.3835897435897432e-13   4.6449662226141207e+01    
-2.3824175824175823e-13   4.6450274598521922e+01    
-2.3812454212454213e-13   4.6450931286889720e+01    
-2.3800732600732598e-13   4.6451630976754501e+01    
-2.3789010989010989e-13   4.6452374414734152e+01    
-2.3777289377289374e-13   4.6453161894613373e+01    
-2.3765567765567764e-13   4.6453993327610078e+01    
-2.3753846153846154e-13   4.6454867950457668e+01    
-2.3742124542124540e-13   4.6455786694854829e+01    
-2.3730402930402930e-13   4.6456749081784302e+01    
-2.3718681318681315e-13   4.6457755505408791e+01    
-2.3706959706959705e-13   4.6458805630009678e+01    
-2.3695238095238096e-13   4.6459899293746076e+01    
-2.3683516483516481e-13   4.6461036912058702e+01    
-2.3671794871794871e-13   4.6462218351527831e+01    
-2.3660073260073256e-13   4.6463443681218884e+01    
-2.3648351648351647e-13   4.6464712581752387e+01    
-2.3636630036630037e-13   4.6466025380732574e+01    
-2.3624908424908422e-13   4.6467381939086479e+01    
-2.3613186813186813e-13   4.6468782502909463e+01    
-2.3601465201465198e-13   4.6470226829977229e+01    
-2.3589743589743588e-13   4.6471714914956685e+01    
-2.3578021978021978e-13   4.6473246462585514e+01    
-2.3566300366300364e-13   4.6474822161329328e+01    
-2.3554578754578754e-13   4.6476441782188076e+01    
-2.3542857142857139e-13   4.6478105187700464e+01    
-2.3531135531135529e-13   4.6479812511028918e+01    
-2.3519413919413920e-13   4.6481563468993777e+01    
-2.3507692307692305e-13   4.6483358633939538e+01    
-2.3495970695970695e-13   4.6485197083065849e+01    
-2.3484249084249081e-13   4.6487079768559134e+01    
-2.3472527472527471e-13   4.6489006260070134e+01    
-2.3460805860805861e-13   4.6490976376419141e+01    
-2.3449084249084246e-13   4.6492990820212164e+01    
-2.3437362637362637e-13   4.6495048907346174e+01    
-2.3425641025641022e-13   4.6497151321200597e+01    
-2.3413919413919412e-13   4.6499297195562818e+01    
-2.3402197802197802e-13   4.6501486896927055e+01    
-2.3390476190476188e-13   4.6503720760024542e+01    
-2.3378754578754578e-13   4.6505998350360244e+01    
-2.3367032967032968e-13   4.6508320159061462e+01    
-2.3355311355311354e-13   4.6510685879231623e+01    
-2.3343589743589744e-13   4.6513095291167531e+01    
-2.3331868131868129e-13   4.6515548685670502e+01    
-2.3320146520146519e-13   4.6518046280240569e+01    
-2.3308424908424910e-13   4.6520587702066337e+01    
-2.3296703296703295e-13   4.6523173125678980e+01    
-2.3284981684981685e-13   4.6525802581367806e+01    
-2.3273260073260070e-13   4.6528475934528998e+01    
-2.3261538461538461e-13   4.6531193204445927e+01    
-2.3249816849816851e-13   4.6533954705441232e+01    
-2.3238095238095236e-13   4.6536760461725194e+01    
-2.3226373626373626e-13   4.6539609896934351e+01    
-2.3214652014652012e-13   4.6542503557359694e+01    
-2.3202930402930402e-13   4.6545440901453489e+01    
-2.3191208791208792e-13   4.6548422745173767e+01    
-2.3179487179487178e-13   4.6551448312422878e+01    
-2.3167765567765568e-13   4.6554518325425960e+01    
-2.3156043956043953e-13   4.6557632082615463e+01    
-2.3144322344322343e-13   4.6560790148574036e+01    
-2.3132600732600734e-13   4.6563992514566266e+01    
-2.3120879120879119e-13   4.6567238597816164e+01    
-2.3109157509157509e-13   4.6570528953341743e+01    
-2.3097435897435894e-13   4.6573863449603465e+01    
-2.3085714285714285e-13   4.6577242240158085e+01    
-2.3073992673992675e-13   4.6580665085453013e+01    
-2.3062271062271060e-13   4.6584131986189412e+01    
-2.3050549450549451e-13   4.6587643212008267e+01    
-2.3038827838827836e-13   4.6591198701088288e+01    
-2.3027106227106226e-13   4.6594798549074660e+01    
-2.3015384615384616e-13   4.6598442365112717e+01    
-2.3003663003663002e-13   4.6602130290472012e+01    
-2.2991941391941392e-13   4.6605862795908671e+01    
-2.2980219780219777e-13   4.6609639209249544e+01    
-2.2968498168498167e-13   4.6613459981014543e+01    
-2.2956776556776558e-13   4.6617325257683383e+01    
-2.2945054945054943e-13   4.6621234933680213e+01    
-2.2933333333333333e-13   4.6625188771719003e+01    
-2.2921611721611718e-13   4.6629186831977080e+01    
-2.2909890109890109e-13   4.6633229050803045e+01    
-2.2898168498168499e-13   4.6637316049824847e+01    
-2.2886446886446884e-13   4.6641447292851794e+01    
-2.2874725274725275e-13   4.6645622787637649e+01    
-2.2863003663003660e-13   4.6649842416541674e+01    
-2.2851282051282050e-13   4.6654106791695320e+01    
-2.2839560439560440e-13   4.6658415563884120e+01    
-2.2827838827838826e-13   4.6662768780859288e+01    
-2.2816117216117216e-13   4.6667166355805627e+01    
-2.2804395604395601e-13   4.6671608426211144e+01    
-2.2792673992673991e-13   4.6676095054121021e+01    
-2.2780952380952382e-13   4.6680626075173237e+01    
-2.2769230769230767e-13   4.6685201664229005e+01    
-2.2757509157509157e-13   4.6689821721817879e+01    
