#legend:                       ArgonShock      
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         0.0949296       
#title_str:                    z =             
#xcordID:                      T               
#xlabel:                       t               
#xscale:                       0               
#xscale_str:                   $t_{p}$         
#xunit_str:                    s               
#ycordID:                      I               
#ylabel:                       I               
#yscale:                       5e+16           
#yscale_str:                   $I_{0}$         
#yunit_str:                    W/m$^{2}$       
-2.3999999999999999e-13   5.1750756397231767e+05    
-2.3988278388278389e-13   5.1750977992457937e+05    
-2.3976556776556774e-13   5.1751257997608511e+05    
-2.3964835164835165e-13   5.1751596334043943e+05    
-2.3953113553113550e-13   5.1751992927726445e+05    
-2.3941391941391940e-13   5.1752447733180976e+05    
-2.3929670329670330e-13   5.1752960738948325e+05    
-2.3917948717948716e-13   5.1753531942814356e+05    
-2.3906227106227106e-13   5.1754161357096856e+05    
-2.3894505494505491e-13   5.1754849021249864e+05    
-2.3882783882783881e-13   5.1755594995561638e+05    
-2.3871062271062272e-13   5.1756399331498344e+05    
-2.3859340659340657e-13   5.1757262070340995e+05    
-2.3847619047619047e-13   5.1758183268875885e+05    
-2.3835897435897432e-13   5.1759162978606357e+05    
-2.3824175824175823e-13   5.1760201220753847e+05    
-2.3812454212454213e-13   5.1761298021197133e+05    
-2.3800732600732598e-13   5.1762453392969584e+05    
-2.3789010989010989e-13   5.1763667353499203e+05    
-2.3777289377289374e-13   5.1764939881802839e+05    
-2.3765567765567764e-13   5.1766270971449994e+05    
-2.3753846153846154e-13   5.1767660623609327e+05    
-2.3742124542124540e-13   5.1769108825266466e+05    
-2.3730402930402930e-13   5.1770615552374389e+05    
-2.3718681318681315e-13   5.1772180799427192e+05    
-2.3706959706959705e-13   5.1773804565170192e+05    
-2.3695238095238096e-13   5.1775486849020974e+05    
-2.3683516483516481e-13   5.1777227638599358e+05    
-2.3671794871794871e-13   5.1779026944385638e+05    
-2.3660073260073256e-13   5.1780884784163098e+05    
-2.3648351648351647e-13   5.1782801172705687e+05    
-2.3636630036630037e-13   5.1784776115844812e+05    
-2.3624908424908422e-13   5.1786809667640482e+05    
-2.3613186813186813e-13   5.1788901852825365e+05    
-2.3601465201465198e-13   5.1791052700491366e+05    
-2.3589743589743588e-13   5.1793262265159847e+05    
-2.3578021978021978e-13   5.1795530600415613e+05    
-2.3566300366300364e-13   5.1797857740488031e+05    
-2.3554578754578754e-13   5.1800243735064234e+05    
-2.3542857142857139e-13   5.1802688619115006e+05    
-2.3531135531135529e-13   5.1805192448604864e+05    
-2.3519413919413920e-13   5.1807755241425731e+05    
-2.3507692307692305e-13   5.1810377009381878e+05    
-2.3495970695970695e-13   5.1813057764782797e+05    
-2.3484249084249081e-13   5.1815797511573863e+05    
-2.3472527472527471e-13   5.1818596212654194e+05    
-2.3460805860805861e-13   5.1821453839709086e+05    
-2.3449084249084246e-13   5.1824370361482067e+05    
-2.3437362637362637e-13   5.1827345730745333e+05    
-2.3425641025641022e-13   5.1830379891695303e+05    
-2.3413919413919412e-13   5.1833472793680726e+05    
-2.3402197802197802e-13   5.1836624412192201e+05    
-2.3390476190476188e-13   5.1839834719159541e+05    
-2.3378754578754578e-13   5.1843103699207923e+05    
-2.3367032967032968e-13   5.1846431371606130e+05    
-2.3355311355311354e-13   5.1849817785632849e+05    
-2.3343589743589744e-13   5.1853262994294293e+05    
-2.3331868131868129e-13   5.1856767065971065e+05    
-2.3320146520146519e-13   5.1860330105688801e+05    
-2.3308424908424910e-13   5.1863952213049296e+05    
-2.3296703296703295e-13   5.1867633487423492e+05    
-2.3284981684981685e-13   5.1871374022571300e+05    
-2.3273260073260070e-13   5.1875173918291176e+05    
-2.3261538461538461e-13   5.1879033247181331e+05    
-2.3249816849816851e-13   5.1882952066006715e+05    
-2.3238095238095236e-13   5.1886930419626582e+05    
-2.3226373626373626e-13   5.1890968342734757e+05    
-2.3214652014652012e-13   5.1895065841687046e+05    
-2.3202930402930402e-13   5.1899222902287141e+05    
-2.3191208791208792e-13   5.1903439526557701e+05    
-2.3179487179487178e-13   5.1907715699892893e+05    
-2.3167765567765568e-13   5.1912051390860270e+05    
-2.3156043956043953e-13   5.1916446571609908e+05    
-2.3144322344322343e-13   5.1920901230990374e+05    
-2.3132600732600734e-13   5.1925415348682908e+05    
-2.3120879120879119e-13   5.1929988894608448e+05    
-2.3109157509157509e-13   5.1934621852871421e+05    
-2.3097435897435894e-13   5.1939314227746153e+05    
-2.3085714285714285e-13   5.1944066002111073e+05    
-2.3073992673992675e-13   5.1948877155074739e+05    
-2.3062271062271060e-13   5.1953747697118082e+05    
