#legend:                       ArgonShock      
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         1.32842         
#title_str:                    z =             
#xcordID:                      T               
#xlabel:                       t               
#xscale:                       0               
#xscale_str:                   $t_{p}$         
#xunit_str:                    s               
#ycordID:                      I               
#ylabel:                       I               
#yscale:                       5e+16           
#yscale_str:                   $I_{0}$         
#yunit_str:                    W/m$^{2}$       
-2.3999999999999999e-13   7.2198299110472307e+07    
-2.3988278388278389e-13   7.1864280529729784e+07    
-2.3976556776556774e-13   7.1677945832399070e+07    
-2.3964835164835165e-13   7.1690556127798557e+07    
-2.3953113553113550e-13   7.1898877952122062e+07    
-2.3941391941391940e-13   7.2237978056975946e+07    
-2.3929670329670330e-13   7.2578766400627598e+07    
-2.3917948717948716e-13   7.2759676615481347e+07    
-2.3906227106227106e-13   7.2660581234920442e+07    
-2.3894505494505491e-13   7.2283611366240099e+07    
-2.3882783882783881e-13   7.1782084507042482e+07    
-2.3871062271062272e-13   7.1401916864495307e+07    
-2.3859340659340657e-13   7.1355861063214168e+07    
-2.3847619047619047e-13   7.1698682871229842e+07    
-2.3835897435897432e-13   7.2277661889303222e+07    
-2.3824175824175823e-13   7.2794570178586707e+07    
-2.3812454212454213e-13   7.2955644319336668e+07    
-2.3800732600732598e-13   7.2635821095987201e+07    
-2.3789010989010989e-13   7.1967147050720245e+07    
-2.3777289377289374e-13   7.1290922532217771e+07    
-2.3765567765567764e-13   7.0982555708182931e+07    
-2.3753846153846154e-13   7.1236371633841813e+07    
-2.3742124542124540e-13   7.1936343902349666e+07    
-2.3730402930402930e-13   7.2701773720612407e+07    
-2.3718681318681315e-13   7.3095264145844325e+07    
-2.3706959706959705e-13   7.2875987598667160e+07    
-2.3695238095238096e-13   7.2146338788451150e+07    
-2.3683516483516481e-13   7.1301320749499589e+07    
-2.3671794871794871e-13   7.0807955551664829e+07    
-2.3660073260073256e-13   7.0941623884112105e+07    
-2.3648351648351647e-13   7.1629318657362148e+07    
-2.3636630036630037e-13   7.2487707528022975e+07    
-2.3624908424908422e-13   7.3035072367978066e+07    
-2.3613186813186813e-13   7.2960290211551875e+07    
-2.3601465201465198e-13   7.2299325960751548e+07    
-2.3589743589743588e-13   7.1418168647291526e+07    
-2.3578021978021978e-13   7.0807540549579009e+07    
-2.3566300366300364e-13   7.0803221643273130e+07    
-2.3554578754578754e-13   7.1393707063557684e+07    
-2.3542857142857139e-13   7.2230040628690571e+07    
-2.3531135531135529e-13   7.2832770982821301e+07    
-2.3519413919413920e-13   7.2870614866011620e+07    
-2.3507692307692305e-13   7.2343289178011566e+07    
-2.3495970695970695e-13   7.1565035549834609e+07    
-2.3484249084249081e-13   7.0970489903509617e+07    
-2.3472527472527471e-13   7.0866818134787530e+07    
-2.3460805860805861e-13   7.1274958128451735e+07    
-2.3449084249084246e-13   7.1938770025770247e+07    
-2.3437362637362637e-13   7.2482573182825595e+07    
-2.3425641025641022e-13   7.2621370967632517e+07    
-2.3413919413919412e-13   7.2307902244231164e+07    
-2.3402197802197802e-13   7.1740916525275469e+07    
-2.3390476190476188e-13   7.1238174980737716e+07    
-2.3378754578754578e-13   7.1053757227988720e+07    
