#legend:                       ArgonShock      
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         3.5             
#title_str:                    z =             
#xcordID:                      T               
#xlabel:                       t               
#xscale:                       0               
#xscale_str:                   $t_{p}$         
#xunit_str:                    s               
#ycordID:                      I               
#ylabel:                       I               
#yscale:                       5e+16           
#yscale_str:                   $I_{0}$         
#yunit_str:                    W/m$^{2}$       
-2.3999999999999999e-13   8.7255810095751956e+07    
-2.3988278388278389e-13   6.4590146656188779e+07    
-2.3976556776556774e-13   4.0852615416427389e+07    
-2.3964835164835165e-13   2.1785363243683774e+07    
-2.3953113553113550e-13   1.1752256825678518e+07    
-2.3941391941391940e-13   1.2668713763742708e+07    
-2.3929670329670330e-13   2.3613255070062321e+07    
-2.3917948717948716e-13   4.1221502156407915e+07    
-2.3906227106227106e-13   6.0723533131782360e+07    
-2.3894505494505491e-13   7.7276011011657402e+07    
-2.3882783882783881e-13   8.7161901620051235e+07    
-2.3871062271062272e-13   8.8529667766732961e+07    
-2.3859340659340657e-13   8.1564636401766047e+07    
-2.3847619047619047e-13   6.8198263232456192e+07    
-2.3835897435897432e-13   5.1555348200034633e+07    
-2.3824175824175823e-13   3.5300899258982792e+07    
-2.3812454212454213e-13   2.2958585316797450e+07    
-2.3800732600732598e-13   1.7231521922593467e+07    
-2.3789010989010989e-13   1.9398434947810858e+07    
-2.3777289377289374e-13   2.8932045532593321e+07    
-2.3765567765567764e-13   4.3505055530887529e+07    
-2.3753846153846154e-13   5.9466781062088490e+07    
-2.3742124542124540e-13   7.2720407895471498e+07    
-2.3730402930402930e-13   7.9784088064899743e+07    
-2.3718681318681315e-13   7.8744898701998115e+07    
-2.3706959706959705e-13   6.9833031660856381e+07    
-2.3695238095238096e-13   5.5435561492924161e+07    
-2.3683516483516481e-13   3.9506154432398483e+07    
-2.3671794871794871e-13   2.6487462544383246e+07    
-2.3660073260073256e-13   2.0021665800950844e+07    
-2.3648351648351647e-13   2.1834353847150419e+07    
-2.3636630036630037e-13   3.1173541747662343e+07    
-2.3624908424908422e-13   4.5030233227512464e+07    
-2.3613186813186813e-13   5.9094353514412068e+07    
-2.3601465201465198e-13   6.9122461021901488e+07    
-2.3589743589743588e-13   7.2242625987424359e+07    
-2.3578021978021978e-13   6.7765963724030942e+07    
-2.3566300366300364e-13   5.7280147579911217e+07    
-2.3554578754578754e-13   4.4061625094941586e+07    
-2.3542857142857139e-13   3.2049116754758984e+07    
-2.3531135531135529e-13   2.4709859574668594e+07    
-2.3519413919413920e-13   2.4104070601293251e+07    
-2.3507692307692305e-13   3.0357243191368464e+07    
-2.3495970695970695e-13   4.1636962848234363e+07    
-2.3484249084249081e-13   5.4631018054317854e+07    
-2.3472527472527471e-13   6.5434329223684981e+07    
-2.3460805860805861e-13   7.0657918287823349e+07    
-2.3449084249084246e-13   6.8479401474402115e+07    
-2.3437362637362637e-13   5.9306280227297992e+07    
-2.3425641025641022e-13   4.5782064593065649e+07    
-2.3413919413919412e-13   3.2055749746177100e+07    
-2.3402197802197802e-13   2.2504479730599266e+07    
-2.3390476190476188e-13   2.0328175838752463e+07    
-2.3378754578754578e-13   2.6504145785064910e+07    
-2.3367032967032968e-13   3.9457541871568814e+07    
-2.3355311355311354e-13   5.5535998242150575e+07    
-2.3343589743589744e-13   7.0103252742275953e+07    
-2.3331868131868129e-13   7.8895639179051638e+07    
-2.3320146520146519e-13   7.9249267191652417e+07    
-2.3308424908424910e-13   7.0872442822967649e+07    
-2.3296703296703295e-13   5.5963384381959714e+07    
-2.3284981684981685e-13   3.8634117169345349e+07    
-2.3273260073260070e-13   2.3781683100763150e+07    
-2.3261538461538461e-13   1.5710980302323313e+07    
-2.3249816849816851e-13   1.6902739291200340e+07    
-2.3238095238095236e-13   2.7290768620370988e+07    
-2.3226373626373626e-13   4.4264338466004074e+07    
-2.3214652014652012e-13   6.3391729317852713e+07    
-2.3202930402930402e-13   7.9643310626384422e+07    
-2.3191208791208792e-13   8.8750065704617590e+07    
-2.3179487179487178e-13   8.8313685211088121e+07    
-2.3167765567765568e-13   7.8387883005563036e+07    
-2.3156043956043953e-13   6.1425910581795372e+07    
-2.3144322344322343e-13   4.1658847208005518e+07    
-2.3132600732600734e-13   2.4078322199351560e+07    
-2.3120879120879119e-13   1.3244769882144848e+07    
-2.3109157509157509e-13   1.2161981679350607e+07    
-2.3097435897435894e-13   2.1468833119050134e+07    
-2.3085714285714285e-13   3.9174545358932048e+07    
-2.3073992673992675e-13   6.1063557868889734e+07    
-2.3062271062271060e-13   8.1717126798019186e+07    
-2.3050549450549451e-13   9.5900118004671603e+07    
-2.3038827838827836e-13   9.9931775938207611e+07    
-2.3027106227106226e-13   9.2658375552770108e+07    
-2.3015384615384616e-13   7.5769690619420469e+07    
-2.3003663003663002e-13   5.3392934359595828e+07    
-2.2991941391941392e-13   3.1085764165753547e+07    
-2.2980219780219777e-13   1.4483894247808760e+07    
-2.2968498168498167e-13   7.9218597216416337e+06    
-2.2956776556776558e-13   1.3342979133424928e+07    
-2.2945054945054943e-13   2.9756469553811841e+07    
-2.2933333333333333e-13   5.3391864128571197e+07    
-2.2921611721611718e-13   7.8551254649894044e+07    
-2.2909890109890109e-13   9.8989544486330673e+07    
-2.2898168498168499e-13   1.0950005863495570e+08    
-2.2886446886446884e-13   1.0729535802030301e+08    
-2.2874725274725275e-13   9.2793130570204869e+07    
-2.2863003663003660e-13   6.9561194043401927e+07    
-2.2851282051282050e-13   4.3415305541394457e+07    
-2.2839560439560440e-13   2.0920290889546078e+07    
-2.2827838827838826e-13   7.7191027364513846e+06    
-2.2816117216117216e-13   7.1390172803653218e+06    
-2.2804395604395601e-13   1.9407469697025400e+07    
-2.2792673992673991e-13   4.1624314992328942e+07    
-2.2780952380952382e-13   6.8461056351820290e+07    
-2.2769230769230767e-13   9.3423465226398662e+07    
-2.2757509157509157e-13   1.1041059867269488e+08    
-2.2745787545787542e-13   1.1522159967589167e+08    
-2.2734065934065933e-13   1.0663124737653334e+08    
-2.2722344322344321e-13   8.6726418721078679e+07    
-2.2710622710622708e-13   6.0385117682501107e+07    
-2.2698901098901099e-13   3.4034066848237723e+07    
-2.2687179487179486e-13   1.4037125923955839e+07    
-2.2675457875457874e-13   5.1557338623001045e+06    
-2.2663736263736262e-13   9.4623826576311365e+06    
-2.2652014652014650e-13   2.5928284622095078e+07    
-2.2640293040293040e-13   5.0724471282929428e+07    
-2.2628571428571428e-13   7.8126841204841495e+07    
-2.2616849816849815e-13   1.0181444810230818e+08    
-2.2605128205128203e-13   1.1628877744429161e+08    
-2.2593406593406591e-13   1.1811858060112487e+08    
-2.2581684981684981e-13   1.0674230868268615e+08    
-2.2569963369963369e-13   8.4646405669333428e+07    
-2.2558241758241757e-13   5.6868386877412498e+07    
-2.2546520146520145e-13   2.9915877767726041e+07    
-2.2534798534798532e-13   1.0315554343727689e+07    
-2.2523076923076923e-13   3.0921695193481594e+06    
-2.2511355311355310e-13   1.0516564615453798e+07    
-2.2499633699633698e-13   3.1435599996135470e+07    
-2.2487912087912086e-13   6.1389758097155109e+07    
-2.2476190476190474e-13   9.3543941204390585e+07    
-2.2464468864468864e-13   1.2024976857970324e+08    
-2.2452747252747252e-13   1.3488847828431490e+08    
-2.2441025641025640e-13   1.3355973236592764e+08    
-2.2429304029304027e-13   1.1619502560965230e+08    
-2.2417582417582415e-13   8.6776514924709022e+07    
-2.2405860805860805e-13   5.2526038352012314e+07    
-2.2394139194139193e-13   2.2183225722869582e+07    
-2.2382417582417581e-13   3.7683849086991721e+06    
-2.2370695970695969e-13   2.4297274913355634e+06    
-2.2358974358974359e-13   1.9001845934681717e+07    
-2.2347252747252747e-13   4.9711844260979056e+07    
-2.2335531135531134e-13   8.7122622205253005e+07    
