#legend:                       ArgonShock      
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         0.633715        
#title_str:                    z =             
#xcordID:                      T               
#xlabel:                       t               
#xscale:                       0               
#xscale_str:                   $t_{p}$         
#xunit_str:                    s               
#ycordID:                      I               
#ylabel:                       I               
#yscale:                       5e+16           
#yscale_str:                   $I_{0}$         
#yunit_str:                    W/m$^{2}$       
-2.3999999999999999e-13   8.8774309434363770e+05    
-2.3988278388278389e-13   8.8770534780799889e+05    
-2.3976556776556774e-13   8.8792431933979248e+05    
-2.3964835164835165e-13   8.8757499212487764e+05    
-2.3953113553113550e-13   8.8671221086016961e+05    
-2.3941391941391940e-13   8.8602468778137630e+05    
-2.3929670329670330e-13   8.8582253577704309e+05    
-2.3917948717948716e-13   8.8566217067337898e+05    
-2.3906227106227106e-13   8.8503882662846125e+05    
-2.3894505494505491e-13   8.8414740283277037e+05    
-2.3882783882783881e-13   8.8366554385394137e+05    
-2.3871062271062272e-13   8.8381807556452043e+05    
-2.3859340659340657e-13   8.8395184989225038e+05    
-2.3847619047619047e-13   8.8326592426270549e+05    
-2.3835897435897432e-13   8.8188040522439184e+05    
-2.3824175824175823e-13   8.8087137493001239e+05    
-2.3812454212454213e-13   8.8105207710665930e+05    
-2.3800732600732598e-13   8.8188104972890555e+05    
-2.3789010989010989e-13   8.8192348152029503e+05    
-2.3777289377289374e-13   8.8050410818310990e+05    
-2.3765567765567764e-13   8.7862995081869699e+05    
-2.3753846153846154e-13   8.7795723851675377e+05    
-2.3742124542124540e-13   8.7887856652810506e+05    
-2.3730402930402930e-13   8.7996534903459612e+05    
-2.3718681318681315e-13   8.7951302032882464e+05    
-2.3706959706959705e-13   8.7748296671502257e+05    
-2.3695238095238096e-13   8.7561167579260538e+05    
-2.3683516483516481e-13   8.7551246751320804e+05    
-2.3671794871794871e-13   8.7687568169860705e+05    
-2.3660073260073256e-13   8.7778175842892739e+05    
-2.3648351648351647e-13   8.7679234662151476e+05    
-2.3636630036630037e-13   8.7451835383281170e+05    
-2.3624908424908422e-13   8.7295428705928591e+05    
-2.3613186813186813e-13   8.7332474174545973e+05    
-2.3601465201465198e-13   8.7478582092165132e+05    
-2.3589743589743588e-13   8.7535134598582238e+05    
-2.3578021978021978e-13   8.7400641837039206e+05    
-2.3566300366300364e-13   8.7175298145717022e+05    
-2.3554578754578754e-13   8.7052828464715986e+05    
-2.3542857142857139e-13   8.7117747013386153e+05    
-2.3531135531135529e-13   8.7259166256380535e+05    
-2.3519413919413920e-13   8.7287087816711236e+05    
-2.3507692307692305e-13   8.7129530260600278e+05    
-2.3495970695970695e-13   8.6908297302082437e+05    
-2.3484249084249081e-13   8.6814377458038996e+05    
-2.3472527472527471e-13   8.6907841866040626e+05    
-2.3460805860805861e-13   8.7049502735860599e+05    
-2.3449084249084246e-13   8.7043480855069135e+05    
-2.3437362637362637e-13   8.6848966342802602e+05    
-2.3425641025641022e-13   8.6632575480558246e+05    
-2.3413919413919412e-13   8.6591116767415730e+05    
-2.3402197802197802e-13   8.6730047449936334e+05    
-2.3390476190476188e-13   8.6850313803206361e+05    
-2.3378754578754578e-13   8.6771386591889756e+05    
-2.3367032967032968e-13   8.6539906189252890e+05    
-2.3355311355311354e-13   8.6377131310521939e+05    
-2.3343589743589744e-13   8.6421919215741137e+05    
-2.3331868131868129e-13   8.6571875660446810e+05    
