#legend:                       ArgonShock      
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         0.7656          
#title_str:                    z =             
#xcordID:                      T               
#xlabel:                       t               
#xscale:                       0               
#xscale_str:                   $t_{p}$         
#xunit_str:                    s               
#ycordID:                      I               
#ylabel:                       I               
#yscale:                       5e+16           
#yscale_str:                   $I_{0}$         
#yunit_str:                    W/m$^{2}$       
-2.3999999999999999e-13   1.4220886555400111e+06    
-2.3988278388278389e-13   1.4149929264781429e+06    
-2.3976556776556774e-13   1.4148971275331839e+06    
-2.3964835164835165e-13   1.4213453435657457e+06    
-2.3953113553113550e-13   1.4271201999376286e+06    
-2.3941391941391940e-13   1.4254479466864946e+06    
-2.3929670329670330e-13   1.4170160507856363e+06    
-2.3917948717948716e-13   1.4094569251806231e+06    
-2.3906227106227106e-13   1.4096389237481044e+06    
-2.3894505494505491e-13   1.4166386057512003e+06    
-2.3882783882783881e-13   1.4226405256365282e+06    
-2.3871062271062272e-13   1.4208422417440775e+06    
-2.3859340659340657e-13   1.4122862633417922e+06    
-2.3847619047619047e-13   1.4047391637873075e+06    
-2.3835897435897432e-13   1.4048677439776470e+06    
-2.3824175824175823e-13   1.4116408737354714e+06    
-2.3812454212454213e-13   1.4174921240513385e+06    
-2.3800732600732598e-13   1.4159304352042798e+06    
-2.3789010989010989e-13   1.4079183401335448e+06    
-2.3777289377289374e-13   1.4007235383922344e+06    
-2.3765567765567764e-13   1.4005710797613456e+06    
-2.3753846153846154e-13   1.4065651116883522e+06    
-2.3742124542124540e-13   1.4118656223381942e+06    
-2.3730402930402930e-13   1.4106557575818643e+06    
-2.3718681318681315e-13   1.4037341774609403e+06    
-2.3706959706959705e-13   1.3973215095967255e+06    
-2.3695238095238096e-13   1.3967173759981496e+06    
-2.3683516483516481e-13   1.4013493458195748e+06    
-2.3671794871794871e-13   1.4058138908624577e+06    
-2.3660073260073256e-13   1.4053202245077728e+06    
-2.3648351648351647e-13   1.4000056710823618e+06    
-2.3636630036630037e-13   1.3943348202017334e+06    
-2.3624908424908422e-13   1.3927301837950738e+06    
-2.3613186813186813e-13   1.3957104222627028e+06    
-2.3601465201465198e-13   1.3997517580384919e+06    
-2.3589743589743588e-13   1.4005692282062392e+06    
-2.3578021978021978e-13   1.3968231670231344e+06    
-2.3566300366300364e-13   1.3912157341953560e+06    
-2.3554578754578754e-13   1.3881430633292720e+06    
-2.3542857142857139e-13   1.3898193213849480e+06    
-2.3531135531135529e-13   1.3941630799848663e+06    
-2.3519413919413920e-13   1.3964928620998652e+06    
-2.3507692307692305e-13   1.3937996338903850e+06    
-2.3495970695970695e-13   1.3877388870213910e+06    
-2.3484249084249081e-13   1.3832966724740218e+06    
-2.3472527472527471e-13   1.3841064259687555e+06    
-2.3460805860805861e-13   1.3888566338559110e+06    
-2.3449084249084246e-13   1.3924085970092765e+06    
-2.3437362637362637e-13   1.3906664773570162e+06    
-2.3425641025641022e-13   1.3844991140795557e+06    
-2.3413919413919412e-13   1.3789437392644987e+06    
-2.3402197802197802e-13   1.3785123900762496e+06    
-2.3390476190476188e-13   1.3830374851316959e+06    
-2.3378754578754578e-13   1.3878087801407536e+06    
-2.3367032967032968e-13   1.3877832193585769e+06    
-2.3355311355311354e-13   1.3821330486621819e+06    
-2.3343589743589744e-13   1.3751621345616218e+06    
-2.3331868131868129e-13   1.3726465708792782e+06    
-2.3320146520146519e-13   1.3765763848418198e+06    
-2.3308424908424910e-13   1.3829832373966156e+06    
-2.3296703296703295e-13   1.3852288054373143e+06    
-2.3284981684981685e-13   1.3801962765936586e+06    
-2.3273260073260070e-13   1.3716221832910839e+06    
-2.3261538461538461e-13   1.3669501421374297e+06    
-2.3249816849816851e-13   1.3702498113694775e+06    
-2.3238095238095236e-13   1.3780011600137441e+06    
-2.3226373626373626e-13   1.3821796795568208e+06    
-2.3214652014652012e-13   1.3779582030012771e+06    
-2.3202930402930402e-13   1.3685420506576085e+06    
-2.3191208791208792e-13   1.3622438071015212e+06    
-2.3179487179487178e-13   1.3644990012788051e+06    
-2.3167765567765568e-13   1.3725691263968940e+06    
-2.3156043956043953e-13   1.3781184557784081e+06    
-2.3144322344322343e-13   1.3752050362669909e+06    
-2.3132600732600734e-13   1.3659833739437752e+06    
-2.3120879120879119e-13   1.3586295917995290e+06    
-2.3109157509157509e-13   1.3594860918848331e+06    
-2.3097435897435894e-13   1.3669870752462130e+06    
-2.3085714285714285e-13   1.3732268651922534e+06    
-2.3073992673992675e-13   1.3716465701183735e+06    
-2.3062271062271060e-13   1.3633436747235407e+06    
-2.3050549450549451e-13   1.3558467242701941e+06    
-2.3038827838827836e-13   1.3556436284140518e+06    
-2.3027106227106226e-13   1.3619284464654743e+06    
-2.3015384615384616e-13   1.3676984195516170e+06    
-2.3003663003663002e-13   1.3668651833628600e+06    
-2.2991941391941392e-13   1.3601039742861579e+06    
-2.2980219780219777e-13   1.3537358248632229e+06    
-2.2968498168498167e-13   1.3531616593030568e+06    
-2.2956776556776558e-13   1.3576951421809320e+06    
-2.2945054945054943e-13   1.3617988059304508e+06    
-2.2933333333333333e-13   1.3609843507196689e+06    
-2.2921611721611718e-13   1.3561025033126292e+06    
-2.2909890109890109e-13   1.3518743279422850e+06    
-2.2898168498168499e-13   1.3516986488275586e+06    
-2.2886446886446884e-13   1.3543955234073314e+06    
-2.2874725274725275e-13   1.3560424308895450e+06    
-2.2863003663003660e-13   1.3544604993396027e+06    
-2.2851282051282050e-13   1.3513171691287532e+06    
-2.2839560439560440e-13   1.3497906475732154e+06    
-2.2827838827838826e-13   1.3507545083243004e+06    
-2.2816117216117216e-13   1.3519161387254682e+06    
-2.2804395604395601e-13   1.3507796792195251e+06    
-2.2792673992673991e-13   1.3478276986462283e+06    
-2.2780952380952382e-13   1.3460558748518666e+06    
-2.2769230769230767e-13   1.3473032984071558e+06    
-2.2757509157509157e-13   1.3497406732276483e+06    
-2.2745787545787542e-13   1.3497162482980497e+06    
-2.2734065934065933e-13   1.3460545347397057e+06    
-2.2722344322344321e-13   1.3417887213079575e+06    
-2.2710622710622708e-13   1.3410391440511018e+06    
-2.2698901098901099e-13   1.3443571653218428e+06    
-2.2687179487179486e-13   1.3478206060452256e+06    
-2.2675457875457874e-13   1.3470852630463017e+06    
-2.2663736263736262e-13   1.3420602556581374e+06    
-2.2652014652014650e-13   1.3371349062658357e+06    
-2.2640293040293040e-13   1.3366941740592392e+06    
-2.2628571428571428e-13   1.3406416821146822e+06    
-2.2616849816849815e-13   1.3445153917646813e+06    
-2.2605128205128203e-13   1.3439570616937098e+06    
-2.2593406593406591e-13   1.3389719405534023e+06    
-2.2581684981684981e-13   1.3338299799375792e+06    
-2.2569963369963369e-13   1.3328628166951381e+06    
-2.2558241758241757e-13   1.3363271943391599e+06    
-2.2546520146520145e-13   1.3402763899153366e+06    
-2.2534798534798532e-13   1.3404331994971943e+06    
-2.2523076923076923e-13   1.3362495599558929e+06    
-2.2511355311355310e-13   1.3312768112901582e+06    
-2.2499633699633698e-13   1.3296314229659813e+06    
-2.2487912087912086e-13   1.3320981421221788e+06    
-2.2476190476190474e-13   1.3356001493286954e+06    
-2.2464468864468864e-13   1.3363325646159772e+06    
-2.2452747252747252e-13   1.3333386223265266e+06    
-2.2441025641025640e-13   1.3291372549120621e+06    
-2.2429304029304027e-13   1.3270904918501338e+06    
-2.2417582417582415e-13   1.3282771024329145e+06    
-2.2405860805860805e-13   1.3307892797203043e+06    
-2.2394139194139193e-13   1.3317903162081256e+06    
-2.2382417582417581e-13   1.3301204553338736e+06    
-2.2370695970695969e-13   1.3270686027917324e+06    
-2.2358974358974359e-13   1.3249208955096672e+06    
-2.2347252747252747e-13   1.3248874310345761e+06    
-2.2335531135531134e-13   1.3262503408357140e+06    
-2.2323809523809522e-13   1.3272322083399126e+06    
-2.2312087912087910e-13   1.3266056441427502e+06    
-2.2300366300366300e-13   1.3246365461603082e+06    
-2.2288644688644688e-13   1.3226809331085230e+06    
-2.2276923076923076e-13   1.3219159583645684e+06    
-2.2265201465201464e-13   1.3223591587518554e+06    
-2.2253479853479851e-13   1.3229957154855721e+06    
-2.2241758241758242e-13   1.3227940211793587e+06    
-2.2230036630036629e-13   1.3216064459777921e+06    
-2.2218315018315017e-13   1.3201596100746563e+06    
-2.2206593406593405e-13   1.3192716075350554e+06    
-2.2194871794871793e-13   1.3191203166649919e+06    
-2.2183150183150183e-13   1.3192071517893886e+06    
-2.2171428571428571e-13   1.3189263190098703e+06    
-2.2159706959706958e-13   1.3181317299383779e+06    
-2.2147985347985346e-13   1.3171986878497065e+06    
-2.2136263736263737e-13   1.3165876036380760e+06    
-2.2124542124542124e-13   1.3163537465801963e+06    
-2.2112820512820512e-13   1.3160860320599417e+06    
-2.2101098901098900e-13   1.3153697217938507e+06    
-2.2089377289377288e-13   1.3143265443775065e+06    
-2.2077655677655678e-13   1.3135962818606196e+06    
-2.2065934065934066e-13   1.3136321977244795e+06    
-2.2054212454212453e-13   1.3140193984895286e+06    
-2.2042490842490841e-13   1.3137164012420366e+06    
-2.2030769230769229e-13   1.3121897578417752e+06    
-2.2019047619047619e-13   1.3102493931734597e+06    
-2.2007326007326007e-13   1.3094539439648592e+06    
-2.1995604395604395e-13   1.3104502764836203e+06    
-2.1983882783882783e-13   1.3119824160816094e+06    
-2.1972161172161170e-13   1.3118830428026086e+06    
-2.1960439560439561e-13   1.3093321392406800e+06    
-2.1948717948717948e-13   1.3060742154479472e+06    
-2.1936996336996336e-13   1.3049966989437530e+06    
-2.1925274725274724e-13   1.3071315677423482e+06    
-2.1913553113553112e-13   1.3101521822489111e+06    
-2.1901831501831502e-13   1.3103616891940276e+06    
-2.1890109890109890e-13   1.3065721448925063e+06    
-2.1878388278388277e-13   1.3018102378839015e+06    
-2.1866666666666665e-13   1.3005698384935583e+06    
-2.1854945054945053e-13   1.3040522411637791e+06    
-2.1843223443223443e-13   1.3084655748255658e+06    
-2.1831501831501831e-13   1.3086439376031435e+06    
