#legend:                       ArgonShock      
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         0               
#title_str:                    z =             
#xcordID:                      T               
#xlabel:                       t               
#xscale:                       0               
#xscale_str:                   $t_{p}$         
#xunit_str:                    s               
#ycordID:                      E               
#ylabel:                       E               
#yscale:                       6.13698e+09     
#yscale_str:                   $E_{0}$         
#yunit_str:                    V/m             
-2.3999999999999999e-13   1.8704058104486163e+02    
-2.3988278388278389e-13   1.8701740228559379e+02    
-2.3976556776556774e-13   1.8697105010921135e+02    
-2.3964835164835165e-13   1.8690152942333827e+02    
-2.3953113553113550e-13   1.8680884833066631e+02    
-2.3941391941391940e-13   1.8669301679980666e+02    
-2.3929670329670330e-13   1.8655405046103056e+02    
-2.3917948717948716e-13   1.8639196602454211e+02    
-2.3906227106227106e-13   1.8620678292274317e+02    
-2.3894505494505491e-13   1.8599852516337242e+02    
-2.3882783882783881e-13   1.8576721671582786e+02    
-2.3871062271062272e-13   1.8551288620791610e+02    
-2.3859340659340657e-13   1.8523556506632315e+02    
-2.3847619047619047e-13   1.8493528690316128e+02    
-2.3835897435897432e-13   1.8461208783547585e+02    
-2.3824175824175823e-13   1.8426600791663566e+02    
-2.3812454212454213e-13   1.8389709001166906e+02    
-2.3800732600732598e-13   1.8350537736901254e+02    
-2.3789010989010989e-13   1.8309091967835911e+02    
-2.3777289377289374e-13   1.8265376765182339e+02    
-2.3765567765567764e-13   1.8219397348403149e+02    
-2.3753846153846154e-13   1.8171159356153828e+02    
-2.3742124542124540e-13   1.8120668774713235e+02    
-2.3730402930402930e-13   1.8067931600584441e+02    
-2.3718681318681315e-13   1.8012954494844607e+02    
-2.3706959706959705e-13   1.7955744000992397e+02    
-2.3695238095238096e-13   1.7896307173737307e+02    
-2.3683516483516481e-13   1.7834651323394255e+02    
-2.3671794871794871e-13   1.7770783893192970e+02    
-2.3660073260073256e-13   1.7704712704659201e+02    
-2.3648351648351647e-13   1.7636445845148330e+02    
-2.3636630036630037e-13   1.7565991740692914e+02    
-2.3624908424908422e-13   1.7493358853110274e+02    
-2.3613186813186813e-13   1.7418556145204337e+02    
-2.3601465201465198e-13   1.7341592704386684e+02    
-2.3589743589743588e-13   1.7262477959302115e+02    
-2.3578021978021978e-13   1.7181221575030449e+02    
-2.3566300366300364e-13   1.7097833574499080e+02    
-2.3554578754578754e-13   1.7012324008112995e+02    
-2.3542857142857139e-13   1.6924703391479028e+02    
-2.3531135531135529e-13   1.6834982362894624e+02    
-2.3519413919413920e-13   1.6743172015634858e+02    
-2.3507692307692305e-13   1.6649283504320113e+02    
-2.3495970695970695e-13   1.6553328269848836e+02    
-2.3484249084249081e-13   1.6455318008724893e+02    
-2.3472527472527471e-13   1.6355264744627078e+02    
-2.3460805860805861e-13   1.6253180869305993e+02    
-2.3449084249084246e-13   1.6149078651821631e+02    
-2.3437362637362637e-13   1.6042970790651088e+02    
-2.3425641025641022e-13   1.5934870434137000e+02    
-2.3413919413919412e-13   1.5824790628379827e+02    
-2.3402197802197802e-13   1.5712744848897134e+02    
-2.3390476190476188e-13   1.5598746969950932e+02    
-2.3378754578754578e-13   1.5482810722664203e+02    
-2.3367032967032968e-13   1.5364950420940278e+02    
-2.3355311355311354e-13   1.5245180317337184e+02    
-2.3343589743589744e-13   1.5123515093830054e+02    
-2.3331868131868129e-13   1.4999969820914251e+02    
-2.3320146520146519e-13   1.4874559502627727e+02    
-2.3308424908424910e-13   1.4747299209465851e+02    
-2.3296703296703295e-13   1.4618204799188663e+02    
-2.3284981684981685e-13   1.4487291965968745e+02    
-2.3273260073260070e-13   1.4354576738821777e+02    
-2.3261538461538461e-13   1.4220075415149117e+02    
-2.3249816849816851e-13   1.4083804287240019e+02    
-2.3238095238095236e-13   1.3945780102361383e+02    
-2.3226373626373626e-13   1.3806019692129888e+02    
-2.3214652014652012e-13   1.3664540207668992e+02    
-2.3202930402930402e-13   1.3521358861447450e+02    
-2.3191208791208792e-13   1.3376493290239006e+02    
-2.3179487179487178e-13   1.3229961164046111e+02    
-2.3167765567765568e-13   1.3081780387708690e+02    
-2.3156043956043953e-13   1.2931969088443384e+02    
-2.3144322344322343e-13   1.2780545585809908e+02    
-2.3132600732600734e-13   1.2627528420466662e+02    
-2.3120879120879119e-13   1.2472936286115790e+02    
-2.3109157509157509e-13   1.2316788051549145e+02    
-2.3097435897435894e-13   1.2159103014975682e+02    
-2.3085714285714285e-13   1.1999900224111047e+02    
-2.3073992673992675e-13   1.1839199309451236e+02    
-2.3062271062271060e-13   1.1677019932164892e+02    
-2.3050549450549451e-13   1.1513381886335479e+02    
-2.3038827838827836e-13   1.1348305201203442e+02    
-2.3027106227106226e-13   1.1181810069596695e+02    
-2.3015384615384616e-13   1.1013916878603263e+02    
-2.3003663003663002e-13   1.0844646199347078e+02    
-2.2991941391941392e-13   1.0674018725642667e+02    
-2.2980219780219777e-13   1.0502055345564675e+02    
-2.2968498168498167e-13   1.0328777059654131e+02    
-2.2956776556776558e-13   1.0154205236523863e+02    
-2.2945054945054943e-13   9.9783610505265855e+01    
-2.2933333333333333e-13   9.8012661309926486e+01    
-2.2921611721611718e-13   9.6229421532613827e+01    
-2.2909890109890109e-13   9.4434109715959067e+01    
-2.2898168498168499e-13   9.2626945220530757e+01    
-2.2886446886446884e-13   9.0808149394229517e+01    
-2.2874725274725275e-13   8.8977945323072845e+01    
-2.2863003663003660e-13   8.7136556617069331e+01    
-2.2851282051282050e-13   8.5284209672326583e+01    
-2.2839560439560440e-13   8.3421131236409693e+01    
-2.2827838827838826e-13   8.1547548235807511e+01    
-2.2816117216117216e-13   7.9663690971000420e+01    
-2.2804395604395601e-13   7.7769790407042848e+01    
-2.2792673992673991e-13   7.5866078173563338e+01    
