#legend:                       ArgonShock      
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         0.0949296       
#title_str:                    z =             
#xcordID:                      T               
#xlabel:                       t               
#xscale:                       0               
#xscale_str:                   $t_{p}$         
#xunit_str:                    s               
#ycordID:                      E               
#ylabel:                       E               
#yscale:                       6.13698e+09     
#yscale_str:                   $E_{0}$         
#yunit_str:                    V/m             
-2.3999999999999999e-13   -8.3210343970051440e+02   
-2.3988278388278389e-13   -6.0849845197299840e+02   
-2.3976556776556774e-13   -3.8481425918158476e+02   
-2.3964835164835165e-13   -1.6107922897774080e+02   
-2.3953113553113550e-13   6.2678259587064844e+01    
-2.3941391941391940e-13   2.8642982342279782e+02    
-2.3929670329670330e-13   5.1014708562507491e+02    
-2.3917948717948716e-13   7.3380166803704628e+02    
-2.3906227106227106e-13   9.5736520492428554e+02    
-2.3894505494505491e-13   1.1808093466171665e+03    
-2.3882783882783881e-13   1.4041057625397877e+03    
-2.3871062271062272e-13   1.6272261415710150e+03    
-2.3859340659340657e-13   1.8501421964568699e+03    
-2.3847619047619047e-13   2.0728256707246560e+03    
-2.3835897435897432e-13   2.2952483387788120e+03    
-2.3824175824175823e-13   2.5173820032458093e+03    
-2.3812454212454213e-13   2.7391985069908010e+03    
-2.3800732600732598e-13   2.9606697309130277e+03    
-2.3789010989010989e-13   3.1817675973709279e+03    
-2.3777289377289374e-13   3.4024640712045602e+03    
-2.3765567765567764e-13   3.6227311697042151e+03    
-2.3753846153846154e-13   3.8425409598498759e+03    
-2.3742124542124540e-13   4.0618655653148066e+03    
-2.3730402930402930e-13   4.2806771674368547e+03    
-2.3718681318681315e-13   4.4989480111484936e+03    
-2.3706959706959705e-13   4.7166504096799654e+03    
-2.3695238095238096e-13   4.9337567445592795e+03    
-2.3683516483516481e-13   5.1502394687817186e+03    
-2.3671794871794871e-13   5.3660711183632056e+03    
-2.3660073260073256e-13   5.5812243079438895e+03    
-2.3648351648351647e-13   5.7956717357213292e+03    
-2.3636630036630037e-13   6.0093861893294206e+03    
-2.3624908424908422e-13   6.2223405516917583e+03    
-2.3613186813186813e-13   6.4345077991557146e+03    
-2.3601465201465198e-13   6.6458610055501795e+03    
-2.3589743589743588e-13   6.8563733530807394e+03    
-2.3578021978021978e-13   7.0660181282527719e+03    
-2.3566300366300364e-13   7.2747687251815332e+03    
-2.3554578754578754e-13   7.4825986506723184e+03    
-2.3542857142857139e-13   7.6894815322272998e+03    
-2.3531135531135529e-13   7.8953911123199669e+03    
-2.3519413919413920e-13   8.1003012535583548e+03    
-2.3507692307692305e-13   8.3041859430814584e+03    
-2.3495970695970695e-13   8.5070192959332180e+03    
-2.3484249084249081e-13   8.7087755564939234e+03    
-2.3472527472527471e-13   8.9094290946972396e+03    
-2.3460805860805861e-13   9.1089544189127246e+03    
-2.3449084249084246e-13   9.3073261760480727e+03    
-2.3437362637362637e-13   9.5045191504244540e+03    
-2.3425641025641022e-13   9.7005082664348029e+03    
-2.3413919413919412e-13   9.8952686026532410e+03    
-2.3402197802197802e-13   1.0088775386211761e+04    
-2.3390476190476188e-13   1.0281004000570623e+04    
-2.3378754578754578e-13   1.0471929987972182e+04    
-2.3367032967032968e-13   1.0661529058438176e+04    
-2.3355311355311354e-13   1.0849777091201138e+04    
-2.3343589743589744e-13   1.1036650137669407e+04    
-2.3331868131868129e-13   1.1222124424596634e+04    
-2.3320146520146519e-13   1.1406176360727532e+04    
-2.3308424908424910e-13   1.1588782534446298e+04    
-2.3296703296703295e-13   1.1769919717661820e+04    
-2.3284981684981685e-13   1.1949564867954758e+04    
-2.3273260073260070e-13   1.2127695131389208e+04    
-2.3261538461538461e-13   1.2304287839598799e+04    
-2.3249816849816851e-13   1.2479320514285346e+04    
-2.3238095238095236e-13   1.2652770874989255e+04    
-2.3226373626373626e-13   1.2824616831268006e+04    
-2.3214652014652012e-13   1.2994836487450397e+04    
-2.3202930402930402e-13   1.3163408151991718e+04    
