#legend:                       ArgonShock      
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         1.4956          
#title_str:                    z =             
#xcordID:                      T               
#xlabel:                       t               
#xscale:                       0               
#xscale_str:                   $t_{p}$         
#xunit_str:                    s               
#ycordID:                      E               
#ylabel:                       E               
#yscale:                       6.13698e+09     
#yscale_str:                   $E_{0}$         
#yunit_str:                    V/m             
-2.3999999999999999e-13   2.3882515601874152e+05    
-2.3988278388278389e-13   2.3591293217589991e+05    
-2.3976556776556774e-13   2.3323876157924350e+05    
-2.3964835164835165e-13   2.3175521086193388e+05    
-2.3953113553113550e-13   2.3188735628668705e+05    
-2.3941391941391940e-13   2.3327187047276000e+05    
-2.3929670329670330e-13   2.3486885642244900e+05    
-2.3917948717948716e-13   2.3543324342197628e+05    
-2.3906227106227106e-13   2.3413789321936027e+05    
-2.3894505494505491e-13   2.3103593848325903e+05    
-2.3882783882783881e-13   2.2710461415124268e+05    
-2.3871062271062272e-13   2.2380972765083218e+05    
-2.3859340659340657e-13   2.2237528849623742e+05    
-2.3847619047619047e-13   2.2311606003708261e+05    
-2.3835897435897432e-13   2.2519713227740009e+05    
-2.3824175824175823e-13   2.2699612671478075e+05    
-2.3812454212454213e-13   2.2692849518471939e+05    
-2.3800732600732598e-13   2.2431478768282360e+05    
-2.3789010989010989e-13   2.1980081417526206e+05    
-2.3777289377289374e-13   2.1506322224900743e+05    
-2.3765567765567764e-13   2.1193455890239109e+05    
-2.3753846153846154e-13   2.1142094065868246e+05    
-2.3742124542124540e-13   2.1315143618203083e+05    
-2.3730402930402930e-13   2.1555702203804423e+05    
-2.3718681318681315e-13   2.1668061596602129e+05    
-2.3706959706959705e-13   2.1519191397840908e+05    
-2.3695238095238096e-13   2.1108319629653744e+05    
-2.3683516483516481e-13   2.0568831085017414e+05    
-2.3671794871794871e-13   2.0100901898572544e+05    
-2.3660073260073256e-13   1.9868698481048839e+05    
-2.3648351648351647e-13   1.9915012890527083e+05    
-2.3636630036630037e-13   2.0138144650751803e+05    
-2.3624908424908422e-13   2.0343621741732978e+05    
-2.3613186813186813e-13   2.0343848299623496e+05    
-2.3601465201465198e-13   2.0053791525772217e+05    
-2.3589743589743588e-13   1.9533879756570101e+05    
-2.3578021978021978e-13   1.8959502351568578e+05    
-2.3566300366300364e-13   1.8533566876678850e+05    
-2.3554578754578754e-13   1.8385558490601086e+05    
-2.3542857142857139e-13   1.8505976732878882e+05    
-2.3531135531135529e-13   1.8748202281899127e+05    
-2.3519413919413920e-13   1.8898621221883711e+05    
-2.3507692307692305e-13   1.8783060773113486e+05    
-2.3495970695970695e-13   1.8357734167824866e+05    
-2.3484249084249081e-13   1.7737039421778463e+05    
-2.3472527472527471e-13   1.7139876105980447e+05    
-2.3460805860805861e-13   1.6778225036629554e+05    
-2.3449084249084246e-13   1.6744686883854598e+05    
-2.3437362637362637e-13   1.6959738923020719e+05    
-2.3425641025641022e-13   1.7209677359050987e+05    
-2.3413919413919412e-13   1.7257434068487384e+05    
-2.3402197802197802e-13   1.6967980170786066e+05    
-2.3390476190476188e-13   1.6381191673954896e+05    
-2.3378754578754578e-13   1.5692819531014335e+05    
-2.3367032967032968e-13   1.5152870355647872e+05    
-2.3355311355311354e-13   1.4934210221778575e+05    
-2.3343589743589744e-13   1.5040423753515427e+05    
-2.3331868131868129e-13   1.5302531887655682e+05    
-2.3320146520146519e-13   1.5467859013436167e+05    
-2.3308424908424910e-13   1.5334363885874150e+05    
-2.3296703296703295e-13   1.4857802716311012e+05    
-2.3284981684981685e-13   1.4173508623124173e+05    
-2.3273260073260070e-13   1.3522149244404220e+05    
-2.3261538461538461e-13   1.3121655703064209e+05    
-2.3249816849816851e-13   1.3054940591130928e+05    
-2.3238095238095236e-13   1.3231212174659039e+05    
-2.3226373626373626e-13   1.3437331090629165e+05    
-2.3214652014652012e-13   1.3449101801898624e+05    
-2.3202930402930402e-13   1.3144331668191554e+05    
-2.3191208791208792e-13   1.2561597124388882e+05    
-2.3179487179487178e-13   1.1877507644227544e+05    
-2.3167765567765568e-13   1.1315901281402443e+05    
-2.3156043956043953e-13   1.1035388472420740e+05    
-2.3144322344322343e-13   1.1051324280231509e+05    
-2.3132600732600734e-13   1.1230108980223609e+05    
-2.3120879120879119e-13   1.1357155130224494e+05    
-2.3109157509157509e-13   1.1243766151976355e+05    
-2.3097435897435894e-13   1.0820372523809041e+05    
-2.3085714285714285e-13   1.0171393071873713e+05    
-2.3073992673992675e-13   9.4950207964142086e+04    
-2.3062271062271060e-13   9.0061979152437503e+04    
-2.3050549450549451e-13   8.8283085342056613e+04    
-2.3038827838827836e-13   8.9269592296666146e+04    
-2.3027106227106226e-13   9.1220713798743294e+04    
-2.3015384615384616e-13   9.1769970727233915e+04    
-2.3003663003663002e-13   8.9221066657442643e+04    
-2.2991941391941392e-13   8.3479937052106441e+04    
-2.2980219780219777e-13   7.6156192132736454e+04    
-2.2968498168498167e-13   6.9738806311601991e+04    
-2.2956776556776558e-13   6.6264417580366804e+04    
-2.2945054945054943e-13   6.6198510499814540e+04    
-2.2933333333333333e-13   6.8156242167842793e+04    
-2.2921611721611718e-13   6.9638451570781661e+04    
-2.2909890109890109e-13   6.8393544466350329e+04    
-2.2898168498168499e-13   6.3655375639622558e+04    
-2.2886446886446884e-13   5.6563541850639122e+04    
-2.2874725274725275e-13   4.9525506902806243e+04    
-2.2863003663003660e-13   4.4878133321207686e+04    
-2.2851282051282050e-13   4.3604818450288396e+04    
-2.2839560439560440e-13   4.4827787341272342e+04    
-2.2827838827838826e-13   4.6342909937888027e+04    
-2.2816117216117216e-13   4.5866356288839474e+04    
-2.2804395604395601e-13   4.2273536448394931e+04    
-2.2792673992673991e-13   3.6149763275648766e+04    
-2.2780952380952382e-13   2.9391448944463751e+04    
-2.2769230769230767e-13   2.4130405361775996e+04    
-2.2757509157509157e-13   2.1597042703757324e+04    
-2.2745787545787542e-13   2.1525604151756437e+04    
-2.2734065934065933e-13   2.2378492252240339e+04    
-2.2722344322344321e-13   2.2222679872353452e+04    
-2.2710622710622708e-13   1.9761870186730554e+04    
-2.2698901098901099e-13   1.4973605703059442e+04    
-2.2687179487179486e-13   9.0387826386659635e+03    
-2.2675457875457874e-13   3.6465308451388582e+03    
-2.2663736263736262e-13   8.6793561548881101e+01    
-2.2652014652014650e-13   -1.3766475368691431e+03   
-2.2640293040293040e-13   -1.5552002619200202e+03   
-2.2628571428571428e-13   -1.8403655883746551e+03   
-2.2616849816849815e-13   -3.4672332015541956e+03   
-2.2605128205128203e-13   -6.9193855072629822e+03   
-2.2593406593406591e-13   -1.1746817798392090e+04   
-2.2581684981684981e-13   -1.6849209087907690e+04   
-2.2569963369963369e-13   -2.1056488813722255e+04   
-2.2558241758241757e-13   -2.3709185060439544e+04   
-2.2546520146520145e-13   -2.4955994428741822e+04   
-2.2534798534798532e-13   -2.5636596684613338e+04   
-2.2523076923076923e-13   -2.6827798671454304e+04   
-2.2511355311355310e-13   -2.9293332304761829e+04   
-2.2499633699633698e-13   -3.3113937685944962e+04   
-2.2487912087912086e-13   -3.7675154096615617e+04   
-2.2476190476190474e-13   -4.2009428284067304e+04   
-2.2464468864468864e-13   -4.5311774658467359e+04   
-2.2452747252747252e-13   -4.7357287466296235e+04   
-2.2441025641025640e-13   -4.8595834523852842e+04   
-2.2429304029304027e-13   -4.9873571780106431e+04   
-2.2417582417582415e-13   -5.1945031964686808e+04   
-2.2405860805860805e-13   -5.5064106936014869e+04   
-2.2394139194139193e-13   -5.8889902323696355e+04   
-2.2382417582417581e-13   -6.2741788966322398e+04   
-2.2370695970695969e-13   -6.6021003472166063e+04   
-2.2358974358974359e-13   -6.8529194605551791e+04   
-2.2347252747252747e-13   -7.0507315971340067e+04   
-2.2335531135531134e-13   -7.2414168137314162e+04   
-2.2323809523809522e-13   -7.4622952882439393e+04   
-2.2312087912087910e-13   -7.7236964027802445e+04   
-2.2300366300366300e-13   -8.0115020829897796e+04   
-2.2288644688644688e-13   -8.3043476640125373e+04   
-2.2276923076923076e-13   -8.5902277850846716e+04   
-2.2265201465201464e-13   -8.8702115496176819e+04   
-2.2253479853479851e-13   -9.1488038778454196e+04   
-2.2241758241758242e-13   -9.4219015841148939e+04   
-2.2230036630036629e-13   -9.6751780767332268e+04   
-2.2218315018315017e-13   -9.8962535520032689e+04   
-2.2206593406593405e-13   -1.0090817509841651e+05   
-2.2194871794871793e-13   -1.0287405598564740e+05   
-2.2183150183150183e-13   -1.0523233424717236e+05   
-2.2171428571428571e-13   -1.0818660837762187e+05   
-2.2159706959706958e-13   -1.1158321329524674e+05   
-2.2147985347985346e-13   -1.1494228900897443e+05   
-2.2136263736263737e-13   -1.1771949315941276e+05   
-2.2124542124542124e-13   -1.1964963081739952e+05   
-2.2112820512820512e-13   -1.2095238168116998e+05   
-2.2101098901098900e-13   -1.2224784809744694e+05   
-2.2089377289377288e-13   -1.2420444051935311e+05   
-2.2077655677655678e-13   -1.2712248457106858e+05   
-2.2065934065934066e-13   -1.3072217788071911e+05   
-2.2054212454212453e-13   -1.3429122024178770e+05   
-2.2042490842490841e-13   -1.3711404635091350e+05   
-2.2030769230769229e-13   -1.3891001086320763e+05   
-2.2019047619047619e-13   -1.3999733643725206e+05   
-2.2007326007326007e-13   -1.4108468160907496e+05   
-2.1995604395604395e-13   -1.4283694914281942e+05   
-2.1983882783882783e-13   -1.4549389032075938e+05   
-2.1972161172161170e-13   -1.4876344493179454e+05   
-2.1960439560439561e-13   -1.5202746745905271e+05   
-2.1948717948717948e-13   -1.5471422853680831e+05   
-2.1936996336996336e-13   -1.5661173546723905e+05   
-2.1925274725274724e-13   -1.5794818962756090e+05   
-2.1913553113553112e-13   -1.5921281095869894e+05   
-2.1901831501831502e-13   -1.6084739499482649e+05   
-2.1890109890109890e-13   -1.6301001188471209e+05   
-2.1878388278388277e-13   -1.6554720843334938e+05   
-2.1866666666666665e-13   -1.6815536224887418e+05   
-2.1854945054945053e-13   -1.7058490506648913e+05   
-2.1843223443223443e-13   -1.7274024105193655e+05   
-2.1831501831501831e-13   -1.7464192104700231e+05   
-2.1819780219780219e-13   -1.7633745481595639e+05   
-2.1808058608058607e-13   -1.7786848584145913e+05   
-2.1796336996336994e-13   -1.7931743369407378e+05   
-2.1784615384615385e-13   -1.8085584217883940e+05   
-2.1772893772893772e-13   -1.8269981170574250e+05   
-2.1761172161172160e-13   -1.8496450612082880e+05   
-2.1749450549450548e-13   -1.8752213702275764e+05   
-2.1737728937728936e-13   -1.9000047416084007e+05   
-2.1726007326007326e-13   -1.9197088585820684e+05   
-2.1714285714285714e-13   -1.9322717428743784e+05   
-2.1702564102564101e-13   -1.9396493768788388e+05   
-2.1690842490842489e-13   -1.9471521002253392e+05   
-2.1679120879120877e-13   -1.9604476762354726e+05   
-2.1667399267399267e-13   -1.9820017117189642e+05   
-2.1655677655677655e-13   -2.0092608441008386e+05   
-2.1643956043956043e-13   -2.0358922987229971e+05   
-2.1632234432234431e-13   -2.0554872364983172e+05   
-2.1620512820512818e-13   -2.0655148895292619e+05   
-2.1608791208791209e-13   -2.0690178149841350e+05   
-2.1597069597069596e-13   -2.0728445890256180e+05   
-2.1585347985347984e-13   -2.0834237356654464e+05   
-2.1573626373626372e-13   -2.1027855474682210e+05   
-2.1561904761904760e-13   -2.1274637071881359e+05   
-2.1550183150183150e-13   -2.1509473094976676e+05   
-2.1538461538461538e-13   -2.1678814198383558e+05   
-2.1526739926739926e-13   -2.1771144731583403e+05   
-2.1515018315018313e-13   -2.1817619512926505e+05   
-2.1503296703296701e-13   -2.1867134237837893e+05   
-2.1491575091575091e-13   -2.1956169869042552e+05   
-2.1479853479853479e-13   -2.2092675497836721e+05   
-2.1468131868131867e-13   -2.2259540796522782e+05   
-2.1456410256410255e-13   -2.2429701235054451e+05   
-2.1444688644688642e-13   -2.2580730412545759e+05   
-2.1432967032967033e-13   -2.2701625520123728e+05   
-2.1421245421245420e-13   -2.2792063661531292e+05   
-2.1409523809523808e-13   -2.2858796452921868e+05   
-2.1397802197802196e-13   -2.2913211767222817e+05   
-2.1386080586080584e-13   -2.2970410255730807e+05   
-2.1374358974358974e-13   -2.3047048737716718e+05   
-2.1362637362637362e-13   -2.3155453752105878e+05   
-2.1350915750915750e-13   -2.3295183611876992e+05   
-2.1339194139194137e-13   -2.3447530423310693e+05   
-2.1327472527472525e-13   -2.3579495313375324e+05   
-2.1315750915750915e-13   -2.3659260895050407e+05   
-2.1304029304029303e-13   -2.3676725454229052e+05   
-2.1292307692307691e-13   -2.3655894339054910e+05   
-2.1280586080586079e-13   -2.3647386209585032e+05   
-2.1268864468864466e-13   -2.3700878530817555e+05   
-2.1257142857142857e-13   -2.3832524104878053e+05   
-2.1245421245421244e-13   -2.4009516583730676e+05   
-2.1233699633699632e-13   -2.4165386615092109e+05   
-2.1221978021978020e-13   -2.4239355915855084e+05   
-2.1210256410256410e-13   -2.4215345042821122e+05   
-2.1198534798534798e-13   -2.4134579647032334e+05   
-2.1186813186813186e-13   -2.4072266397153639e+05   
-2.1175091575091574e-13   -2.4092313139450568e+05   
-2.1163369963369961e-13   -2.4208430270297706e+05   
-2.1151648351648349e-13   -2.4375754168654684e+05   
-2.1139926739926739e-13   -2.4517759953564886e+05   
-2.1128205128205127e-13   -2.4571644551260560e+05   
-2.1116483516483515e-13   -2.4524866602328682e+05   
-2.1104761904761905e-13   -2.4421568020243500e+05   
-2.1093040293040290e-13   -2.4335678534781904e+05   
-2.1081318681318681e-13   -2.4326980912065005e+05   
-2.1069597069597069e-13   -2.4406417086671665e+05   
-2.1057875457875456e-13   -2.4531476828344507e+05   
-2.1046153846153847e-13   -2.4634022580662879e+05   
-2.1034432234432234e-13   -2.4662297846404754e+05   
-2.1022710622710622e-13   -2.4610013026752239e+05   
-2.1010989010989010e-13   -2.4515093869719180e+05   
-2.0999267399267398e-13   -2.4432028957156604e+05   
-2.0987545787545788e-13   -2.4398681558829083e+05   
-2.0975824175824176e-13   -2.4418851517495781e+05   
-2.0964102564102563e-13   -2.4467609634428704e+05   
-2.0952380952380951e-13   -2.4510448961461027e+05   
-2.0940659340659339e-13   -2.4521520667793808e+05   
-2.0928937728937729e-13   -2.4491971763653826e+05   
-2.0917216117216117e-13   -2.4428717869404028e+05   
-2.0905494505494505e-13   -2.4348676712928287e+05   
-2.0893772893772893e-13   -2.4272187471987554e+05   
-2.0882051282051280e-13   -2.4216468947033881e+05   
-2.0870329670329671e-13   -2.4189506224526631e+05   
-2.0858608058608058e-13   -2.4186277831839805e+05   
-2.0846886446886446e-13   -2.4189772757470986e+05   
-2.0835164835164834e-13   -2.4177434700322745e+05   
-2.0823443223443222e-13   -2.4130911724301009e+05   
-2.0811721611721612e-13   -2.4045159561993525e+05   
-2.0800000000000000e-13   -2.3932579445284227e+05   
-2.0788278388278387e-13   -2.3819001397462239e+05   
-2.0776556776556775e-13   -2.3731564537188562e+05   
-2.0764835164835163e-13   -2.3683656628895379e+05   
-2.0753113553113553e-13   -2.3665895912010019e+05   
-2.0741391941391941e-13   -2.3650196855975973e+05   
-2.0729670329670329e-13   -2.3605643343282543e+05   
-2.0717948717948717e-13   -2.3516095805728910e+05   
-2.0706227106227104e-13   -2.3388010589463724e+05   
-2.0694505494505495e-13   -2.3244581575699072e+05   
-2.0682783882783882e-13   -2.3112219388812836e+05   
-2.0671062271062270e-13   -2.3008863214630893e+05   
-2.0659340659340658e-13   -2.2938916075359270e+05   
-2.0647619047619046e-13   -2.2893159422079759e+05   
-2.0635897435897436e-13   -2.2850819180924600e+05   
-2.0624175824175824e-13   -2.2784633081003049e+05   
-2.0612454212454212e-13   -2.2671498341741704e+05   
-2.0600732600732599e-13   -2.2506598945115478e+05   
-2.0589010989010987e-13   -2.2311964322428530e+05   
-2.0577289377289377e-13   -2.2129904643033844e+05   
-2.0565567765567765e-13   -2.2000957488441397e+05   
-2.0553846153846153e-13   -2.1938245637988290e+05   
-2.0542124542124541e-13   -2.1915130997223078e+05   
-2.0530402930402928e-13   -2.1876219349923724e+05   
-2.0518681318681319e-13   -2.1767598433139257e+05   
-2.0506959706959706e-13   -2.1569711766529028e+05   
