#legend:                       ArgonShock      
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         1.82994         
#title_str:                    z =             
#xcordID:                      T               
#xlabel:                       t               
#xscale:                       0               
#xscale_str:                   $t_{p}$         
#xunit_str:                    s               
#ycordID:                      E               
#ylabel:                       E               
#yscale:                       6.13698e+09     
#yscale_str:                   $E_{0}$         
#yunit_str:                    V/m             
-2.3999999999999999e-13   1.1764416577310537e+05    
-2.3988278388278389e-13   1.1253959904196659e+05    
-2.3976556776556774e-13   1.0673153059928011e+05    
-2.3964835164835165e-13   1.0333222033133036e+05    
-2.3953113553113550e-13   1.0453251655438438e+05    
-2.3941391941391940e-13   1.1049193349137464e+05    
-2.3929670329670330e-13   1.1911582735903726e+05    
-2.3917948717948716e-13   1.2690401855748951e+05    
-2.3906227106227106e-13   1.3054868629211397e+05    
-2.3894505494505491e-13   1.2855518754233200e+05    
-2.3882783882783881e-13   1.2207519660808475e+05    
-2.3871062271062272e-13   1.1446923352714368e+05    
-2.3859340659340657e-13   1.0973876882661546e+05    
-2.3847619047619047e-13   1.1057628935347160e+05    
-2.3835897435897432e-13   1.1702302948028581e+05    
-2.3824175824175823e-13   1.2643041604724748e+05    
-2.3812454212454213e-13   1.3474343559055516e+05    
-2.3800732600732598e-13   1.3844831268236024e+05    
-2.3789010989010989e-13   1.3622133152791564e+05    
-2.3777289377289374e-13   1.2950695567552099e+05    
-2.3765567765567764e-13   1.2179406298949812e+05    
-2.3753846153846154e-13   1.1696398313886962e+05    
-2.3742124542124540e-13   1.1749006537904959e+05    
-2.3730402930402930e-13   1.2332017162628738e+05    
-2.3718681318681315e-13   1.3195212017263280e+05    
-2.3706959706959705e-13   1.3965056171947380e+05    
-2.3695238095238096e-13   1.4321066726868929e+05    
-2.3683516483516481e-13   1.4142213261563750e+05    
-2.3671794871794871e-13   1.3555561635393219e+05    
-2.3660073260073256e-13   1.2868464534799299e+05    
-2.3648351648351647e-13   1.2420826225001689e+05    
-2.3636630036630037e-13   1.2428758191561581e+05    
-2.3624908424908422e-13   1.2891292700825038e+05    
-2.3613186813186813e-13   1.3600092023347985e+05    
-2.3601465201465198e-13   1.4243719265431882e+05    
-2.3589743589743588e-13   1.4554950970393021e+05    
-2.3578021978021978e-13   1.4431415194867100e+05    
-2.3566300366300364e-13   1.3974621281128362e+05    
-2.3554578754578754e-13   1.3432429878936906e+05    
-2.3542857142857139e-13   1.3075725357676171e+05    
-2.3531135531135529e-13   1.3070211528882777e+05    
-2.3519413919413920e-13   1.3405074834583438e+05    
-2.3507692307692305e-13   1.3910980004725882e+05    
-2.3495970695970695e-13   1.4354089874067093e+05    
-2.3484249084249081e-13   1.4554099597078894e+05    
-2.3472527472527471e-13   1.4464412091799223e+05    
-2.3460805860805861e-13   1.4177316343377720e+05    
-2.3449084249084246e-13   1.3860631488612251e+05    
-2.3437362637362637e-13   1.3667570867273444e+05    
-2.3425641025641022e-13   1.3668883404451498e+05    
-2.3413919413919412e-13   1.3835991426051394e+05    
-2.3402197802197802e-13   1.4072849707206056e+05    
-2.3390476190476188e-13   1.4271748379878144e+05    
-2.3378754578754578e-13   1.4363187005384662e+05    
-2.3367032967032968e-13   1.4339207112171309e+05    
-2.3355311355311354e-13   1.4244772003017724e+05    
-2.3343589743589744e-13   1.4145869124029559e+05    
-2.3331868131868129e-13   1.4092049392096218e+05    
-2.3320146520146519e-13   1.4092722216186731e+05    
-2.3308424908424910e-13   1.4119327678449804e+05    
-2.3296703296703295e-13   1.4131244469119699e+05    
-2.3284981684981685e-13   1.4108642288268593e+05    
-2.3273260073260070e-13   1.4069822065907941e+05    
-2.3261538461538461e-13   1.4059499552060277e+05    
-2.3249816849816851e-13   1.4114003830644413e+05    
-2.3238095238095236e-13   1.4226806902294178e+05    
-2.3226373626373626e-13   1.4340258581471190e+05    
-2.3214652014652012e-13   1.4373659343461713e+05    
-2.3202930402930402e-13   1.4273530736978384e+05    
-2.3191208791208792e-13   1.4055238296878818e+05    
-2.3179487179487178e-13   1.3807466982469405e+05    
-2.3167765567765568e-13   1.3651814171420786e+05    
-2.3156043956043953e-13   1.3676842074989504e+05    
-2.3144322344322343e-13   1.3883153942110689e+05    
-2.3132600732600734e-13   1.4172626552592535e+05    
-2.3120879120879119e-13   1.4391803381825585e+05    
-2.3109157509157509e-13   1.4409224916752861e+05    
-2.3097435897435894e-13   1.4186359564609249e+05    
-2.3085714285714285e-13   1.3803528782316871e+05    
-2.3073992673992675e-13   1.3425145777205980e+05    
-2.3062271062271060e-13   1.3220287764637242e+05    
-2.3050549450549451e-13   1.3278169629636986e+05    
-2.3038827838827836e-13   1.3561275662684190e+05    
-2.3027106227106226e-13   1.3920378040715939e+05    
-2.3015384615384616e-13   1.4165067527406180e+05    
-2.3003663003663002e-13   1.4155951092937525e+05    
-2.2991941391941392e-13   1.3873492503244802e+05    
-2.2980219780219777e-13   1.3428986771535245e+05    
-2.2968498168498167e-13   1.3011024670156318e+05    
-2.2956776556776558e-13   1.2793274730649397e+05    
-2.2945054945054943e-13   1.2849983080416823e+05    
-2.2933333333333333e-13   1.3122143054762547e+05    
-2.2921611721611718e-13   1.3450431270808892e+05    
-2.2909890109890109e-13   1.3655679502282679e+05    
-2.2898168498168499e-13   1.3624246577263586e+05    
-2.2886446886446884e-13   1.3356489556131524e+05    
-2.2874725274725275e-13   1.2958543003552372e+05    
-2.2863003663003660e-13   1.2586481824613977e+05    
-2.2851282051282050e-13   1.2372640842199193e+05    
-2.2839560439560440e-13   1.2368628716251921e+05    
-2.2827838827838826e-13   1.2529077618990332e+05    
-2.2816117216117216e-13   1.2740407092274891e+05    
-2.2804395604395601e-13   1.2878156988422580e+05    
-2.2792673992673991e-13   1.2863626313009340e+05    
-2.2780952380952382e-13   1.2692385267131598e+05    
-2.2769230769230767e-13   1.2423813518375174e+05    
-2.2757509157509157e-13   1.2143031459095149e+05    
-2.2745787545787542e-13   1.1920364143121867e+05    
-2.2734065934065933e-13   1.1789926632201044e+05    
-2.2722344322344321e-13   1.1751882749528848e+05    
-2.2710622710622708e-13   1.1786258412591055e+05    
-2.2698901098901099e-13   1.1862483606661948e+05    
-2.2687179487179486e-13   1.1939324120163453e+05    
-2.2675457875457874e-13   1.1963899409622775e+05    
-2.2663736263736262e-13   1.1882745682498257e+05    
-2.2652014652014650e-13   1.1667702728939136e+05    
-2.2640293040293040e-13   1.1342997890388596e+05    
-2.2628571428571428e-13   1.0991754387148102e+05    
-2.2616849816849815e-13   1.0728800303002921e+05    
-2.2605128205128203e-13   1.0647398876776973e+05    
-2.2593406593406591e-13   1.0766236769574211e+05    
-2.2581684981684981e-13   1.1007028519727392e+05    
-2.2569963369963369e-13   1.1219584544875480e+05    
-2.2558241758241757e-13   1.1247498424811011e+05    
-2.2546520146520145e-13   1.1005785002263931e+05    
-2.2534798534798532e-13   1.0532446565661297e+05    
-2.2523076923076923e-13   9.9843064196625070e+04    
-2.2511355311355310e-13   9.5716527707552275e+04    
-2.2499633699633698e-13   9.4570653476541847e+04    
-2.2487912087912086e-13   9.6667068681871111e+04    
-2.2476190476190474e-13   1.0063118391085227e+05    
-2.2464468864468864e-13   1.0401872383771568e+05    
-2.2452747252747252e-13   1.0450577167333283e+05    
-2.2441025641025640e-13   1.0111176612604599e+05    
-2.2429304029304027e-13   9.4789334028284284e+04    
-2.2417582417582415e-13   8.8018188077786152e+04    
-2.2405860805860805e-13   8.3573452381608891e+04    
-2.2394139194139193e-13   8.3102540508123813e+04    
-2.2382417582417581e-13   8.6267274862708655e+04    
-2.2370695970695969e-13   9.0909811441733371e+04    
-2.2358974358974359e-13   9.4148137658475083e+04    
-2.2347252747252747e-13   9.3815828566315686e+04    
-2.2335531135531134e-13   8.9505030425021469e+04    
-2.2323809523809522e-13   8.2715134071596243e+04    
-2.2312087912087910e-13   7.6084042683896172e+04    
-2.2300366300366300e-13   7.2115463254017071e+04    
-2.2288644688644688e-13   7.2014439994559652e+04    
-2.2276923076923076e-13   7.5154800084337796e+04    
-2.2265201465201464e-13   7.9399912223738429e+04    
-2.2253479853479851e-13   8.2116285627026358e+04    
-2.2241758241758242e-13   8.1409623374286151e+04    
-2.2230036630036629e-13   7.7007750234450286e+04    
-2.2218315018315017e-13   7.0374201874343169e+04    
