#legend:                       ArgonShock      
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         3.5             
#title_str:                    z =             
#xcordID:                      T               
#xlabel:                       t               
#xscale:                       0               
#xscale_str:                   $t_{p}$         
#xunit_str:                    s               
#ycordID:                      E               
#ylabel:                       E               
#yscale:                       6.13698e+09     
#yscale_str:                   $E_{0}$         
#yunit_str:                    V/m             
-2.3999999999999999e-13   2.1467214889415706e+05    
-2.3988278388278389e-13   1.6578700583195267e+05    
-2.3976556776556774e-13   1.2185328821720864e+05    
-2.3964835164835165e-13   9.4029445344556865e+04    
-2.3953113553113550e-13   8.8798432411852511e+04    
-2.3941391941391940e-13   1.0642350522496105e+05    
-2.3929670329670330e-13   1.4121142446628708e+05    
-2.3917948717948716e-13   1.8344432824267785e+05    
-2.3906227106227106e-13   2.2228340250429272e+05    
-2.3894505494505491e-13   2.4865634331428129e+05    
-2.3882783882783881e-13   2.5727167870797557e+05    
-2.3871062271062272e-13   2.4737091443286923e+05    
-2.3859340659340657e-13   2.2234591783137649e+05    
-2.3847619047619047e-13   1.8863033448224372e+05    
-2.3835897435897432e-13   1.5424532226432330e+05    
-2.3824175824175823e-13   1.2720212136233001e+05    
-2.3812454212454213e-13   1.1386884094630183e+05    
-2.3800732600732598e-13   1.1749517040611486e+05    
-2.3789010989010989e-13   1.3725159807075263e+05    
-2.3777289377289374e-13   1.6818030090713178e+05    
-2.3765567765567764e-13   2.0226033932956029e+05    
-2.3753846153846154e-13   2.3042464212682768e+05    
-2.3742124542124540e-13   2.4501204492705560e+05    
-2.3730402930402930e-13   2.4195663696613061e+05    
-2.3718681318681315e-13   2.2206294544853803e+05    
-2.3706959706959705e-13   1.9094688200646112e+05    
-2.3695238095238096e-13   1.5756700293790968e+05    
-2.3683516483516481e-13   1.3166650839389741e+05    
-2.3671794871794871e-13   1.2082059749156421e+05    
-2.3660073260073256e-13   1.2801495129537192e+05    
-2.3648351648351647e-13   1.5062154480370090e+05    
-2.3636630036630037e-13   1.8121722375141169e+05    
-2.3624908424908422e-13   2.1002138150276997e+05    
-2.3613186813186813e-13   2.2809845812235703e+05    
-2.3601465201465198e-13   2.3018430264897298e+05    
-2.3589743589743588e-13   2.1618469458291095e+05    
-2.3578021978021978e-13   1.9094217282760635e+05    
-2.3566300366300364e-13   1.6249826117328709e+05    
-2.3554578754578754e-13   1.3952962516246908e+05    
-2.3542857142857139e-13   1.2878317165969813e+05    
-2.3531135531135529e-13   1.3320719270972256e+05    
-2.3519413919413920e-13   1.5119771132581445e+05    
-2.3507692307692305e-13   1.7708007396855377e+05    
-2.3495970695970695e-13   2.0269124679504582e+05    
-2.3484249084249081e-13   2.1971104544725624e+05    
-2.3472527472527471e-13   2.2218651633516143e+05    
-2.3460805860805861e-13   2.0853799449771357e+05    
-2.3449084249084246e-13   1.8234109691854226e+05    
-2.3437362637362637e-13   1.5145925902279513e+05    
-2.3425641025641022e-13   1.2564598327971448e+05    
-2.3413919413919412e-13   1.1335051175029692e+05    
-2.3402197802197802e-13   1.1884464509029395e+05    
-2.3390476190476188e-13   1.4071744390514394e+05    
-2.3378754578754578e-13   1.7226849827885005e+05    
-2.3367032967032968e-13   2.0361963348519494e+05    
-2.3355311355311354e-13   2.2478871815436898e+05    
-2.3343589743589744e-13   2.2873364489764773e+05    
-2.3331868131868129e-13   2.1347899394078788e+05    
-2.3320146520146519e-13   1.8275475804085878e+05    
-2.3308424908424910e-13   1.4498362381163167e+05    
-2.3296703296703295e-13   1.1088343761956727e+05    
-2.3284981684981685e-13   9.0342752764137433e+04    
-2.3273260073260070e-13   8.9474841318569015e+04    
-2.3261538461538461e-13   1.0874538901137085e+05    
-2.3249816849816851e-13   1.4276408338571747e+05    
-2.3238095238095236e-13   1.8181637678107043e+05    
-2.3226373626373626e-13   2.1466475328200197e+05    
-2.3214652014652012e-13   2.3175862234205715e+05    
-2.3202930402930402e-13   2.2789215493916403e+05    
-2.3191208791208792e-13   2.0356874972347650e+05    
-2.3179487179487178e-13   1.6477273286042263e+05    
-2.3167765567765568e-13   1.2132620290011693e+05    
-2.3156043956043953e-13   8.4343575587499858e+04    
-2.3144322344322343e-13   6.3423125283632020e+04    
-2.3132600732600734e-13   6.4194428124623766e+04    
-2.3120879120879119e-13   8.6762997198494108e+04    
-2.3109157509157509e-13   1.2547015854889345e+05    
-2.3097435897435894e-13   1.7015138348924942e+05    
-2.3085714285714285e-13   2.0869638351965818e+05    
-2.3073992673992675e-13   2.3028434267260798e+05    
-2.3062271062271060e-13   2.2838243161310200e+05    
-2.3050549450549451e-13   2.0261637538495366e+05    
-2.3038827838827836e-13   1.5896013673830655e+05    
-2.3027106227106226e-13   1.0820580196134877e+05    
-2.3015384615384616e-13   6.3163096509774979e+04    
-2.3003663003663002e-13   3.5348411742228520e+04    
-2.2991941391941392e-13   3.2004406667693234e+04    
-2.2980219780219777e-13   5.4174256008697776e+04    
-2.2968498168498167e-13   9.6300730411692697e+04    
-2.2956776556776558e-13   1.4748254366757217e+05    
-2.2945054945054943e-13   1.9414286755667170e+05    
-2.2933333333333333e-13   2.2350533384749515e+05    
-2.2921611721611718e-13   2.2701450636661361e+05    
-2.2909890109890109e-13   2.0277222877560498e+05    
-2.2898168498168499e-13   1.5625101467012119e+05    
-2.2886446886446884e-13   9.8985752793260108e+04    
-2.2874725274725275e-13   4.5535906358320826e+04    
-2.2863003663003660e-13   9.5620915169295331e+03    
-2.2851282051282050e-13   1.5501112402780427e+02    
-2.2839560439560440e-13   1.9458328326778013e+04    
-2.2827838827838826e-13   6.2186293781241264e+04    
-2.2816117216117216e-13   1.1705863300429980e+05    
-2.2804395604395601e-13   1.6969080451995428e+05    
-2.2792673992673991e-13   2.0620090603353828e+05    
-2.2780952380952382e-13   2.1669883243938177e+05    
-2.2769230769230767e-13   1.9784554657184373e+05    
-2.2757509157509157e-13   1.5381483002490387e+05    
-2.2745787545787542e-13   9.5315946851223023e+04    
-2.2734065934065933e-13   3.6844440395936501e+04    
-2.2722344322344321e-13   -7.1210424393543090e+03   
-2.2710622710622708e-13   -2.5899940375263661e+04   
-2.2698901098901099e-13   -1.5304672804307615e+04   
