#legend:                       ArgonShock      
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         0.501831        
#title_str:                    z =             
#xcordID:                      T               
#xlabel:                       t               
#xscale:                       0               
#xscale_str:                   $t_{p}$         
#xunit_str:                    s               
#ycordID:                      E               
#ylabel:                       E               
#yscale:                       6.13698e+09     
#yscale_str:                   $E_{0}$         
#yunit_str:                    V/m             
-2.3999999999999999e-13   5.5754033364201487e+03    
-2.3988278388278389e-13   6.0497757120034612e+03    
-2.3976556776556774e-13   6.5260695404464786e+03    
-2.3964835164835165e-13   6.9969374340801742e+03    
-2.3953113553113550e-13   7.4614328396289020e+03    
-2.3941391941391940e-13   7.9256572989884899e+03    
-2.3929670329670330e-13   8.3942193146858554e+03    
-2.3917948717948716e-13   8.8644535859307944e+03    
-2.3906227106227106e-13   9.3305774674425502e+03    
-2.3894505494505491e-13   9.7912642255035207e+03    
-2.3882783882783881e-13   1.0250546526041944e+04    
-2.3871062271062272e-13   1.0711930216886101e+04    
-2.3859340659340657e-13   1.1174196933602476e+04    
-2.3847619047619047e-13   1.1633729617743331e+04    
-2.3835897435897432e-13   1.2089182953384006e+04    
-2.3824175824175823e-13   1.2542410937581131e+04    
-2.3812454212454213e-13   1.2995521544627003e+04    
-2.3800732600732598e-13   1.3448469646362897e+04    
-2.3789010989010989e-13   1.3899674613974350e+04    
-2.3777289377289374e-13   1.4348023759553598e+04    
-2.3765567765567764e-13   1.4793738664324303e+04    
-2.3753846153846154e-13   1.5237685515742894e+04    
-2.3742124542124540e-13   1.5680367985177420e+04    
-2.3730402930402930e-13   1.6121593240367843e+04    
-2.3718681318681315e-13   1.6560780349994715e+04    
-2.3706959706959705e-13   1.6997407434753150e+04    
-2.3695238095238096e-13   1.7431314455644286e+04    
-2.3683516483516481e-13   1.7862827536884186e+04    
-2.3671794871794871e-13   1.8292555651681068e+04    
-2.3660073260073256e-13   1.8720744951476230e+04    
-2.3648351648351647e-13   1.9146739388211892e+04    
-2.3636630036630037e-13   1.9569468634552195e+04    
-2.3624908424908422e-13   1.9988758319498073e+04    
-2.3613186813186813e-13   2.0405756665267036e+04    
-2.3601465201465198e-13   2.0821499130098287e+04    
-2.3589743589743588e-13   2.1235301749304730e+04    
-2.3578021978021978e-13   2.1645408460425257e+04    
-2.3566300366300364e-13   2.2051336143911158e+04    
-2.3554578754578754e-13   2.2454637151857049e+04    
-2.3542857142857139e-13   2.2856733754441320e+04    
-2.3531135531135529e-13   2.3256768417575549e+04    
-2.3519413919413920e-13   2.3652680972950759e+04    
-2.3507692307692305e-13   2.4044106845142396e+04    
-2.3495970695970695e-13   2.4432855778164638e+04    
-2.3484249084249081e-13   2.4820181870139360e+04    
-2.3472527472527471e-13   2.5204881058829655e+04    
-2.3460805860805861e-13   2.5585076597146581e+04    
-2.3449084249084246e-13   2.5960959372033205e+04    
-2.3437362637362637e-13   2.6334306896478600e+04    
-2.3425641025641022e-13   2.6705630145954518e+04    
-2.3413919413919412e-13   2.7073439143730582e+04    
-2.3402197802197802e-13   2.7436642455189089e+04    
-2.3390476190476188e-13   2.7796128624672081e+04    
-2.3378754578754578e-13   2.8153085567362210e+04    
-2.3367032967032968e-13   2.8506978244531478e+04    
-2.3355311355311354e-13   2.8856503562487087e+04    
-2.3343589743589744e-13   2.9201787253967999e+04    
-2.3331868131868129e-13   2.9544070739450832e+04    
-2.3320146520146519e-13   2.9883438215794344e+04    
-2.3308424908424910e-13   3.0218487856192503e+04    
-2.3296703296703295e-13   3.0548626057246402e+04    
-2.3284981684981685e-13   3.0875186028155702e+04    
-2.3273260073260070e-13   3.1199315595933604e+04    
-2.3261538461538461e-13   3.1519885534215904e+04    
-2.3249816849816851e-13   3.1834945094234794e+04    
-2.3238095238095236e-13   3.2144751346102606e+04    
-2.3226373626373626e-13   3.2451636921961843e+04    
-2.3214652014652012e-13   3.2756547735461154e+04    
-2.3202930402930402e-13   3.3057310630575441e+04    
